debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_zip,debtor_rt,debtor_rw,debtor_address,debtor_number,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,loan_amount,tenor,billing_frequency,transaction_frequency,interest_rate,other_credit,monthly_income,home_ownership,employment_status,employment_status_duration,public_records,contact_frequency,dti,revolving_credit_balance,occupation,financial_situation,delay_history,amount_of_late_days,number_of_dependents,number_of_vehicles,number_of_complaints,external_factors,communication_channel,working_time,payment_patterns,payment_method,aging,collection_difficulty_score,collection_difficulty_category
4.13343E+15,Cemplunk Zulaika,perempuan,"Bengkulu, 23-09-1997",26,12188,6,10,"Jalan Raya Setiabudhi No. 857
Banjarbaru, KR 12188",+62 (102) 776 3467,0,0,0,0,0,0,0,0,0,0,0,0,44745252,36,27,6,0.1895,0,113185750,TRUE,Full-time,193,0,18,0.36,358526673,Food Service Management,E,0,1583,5,4,0,0,Telepon,Pagi - Sore,Akhir Bulan,ATM,0,315,sedang
7.87362E+15,"Clara Padmasari, M.Pd",laki-laki,"Jawa Tengah, 13-04-1964",59,56126,20,20,"Jalan Cihampelas No. 4
Pekanbaru, Sulawesi Selatan 56126",+62 (808) 299 5117,0,0,0,0,0,0,0,0,0,0,0,0,38930811,36,11,13,0.2745,1,44969080.01,FALSE,Full-time,47,0,18,0.17,16039311,Administrative Assistant,E,0,1966,3,1,0,0,Email,Pagi - Sore,Akhir Bulan,Langsung,0,412,sulit
9.93737E+15,"Puti Cinthia Oktaviani, S.IP",laki-laki,"Jawa Tengah, 01-09-1981",42,98101,2,15,"Jl. Wonoayu No. 68
Semarang, Riau 98101",+62 (0582) 416 0892,0,0,0,0,0,0,0,0,0,0,0,0,45783000,36,6,3,0.2999,2,57228750,TRUE,Employed,126,0,5,0.35,1098792,Military Enlisted,E,0,121,3,1,0,0,Telepon,Pagi - Sore,Awal Bulan,ATM,0,278,mudah
2.07108E+15,"Lalita Astuti, M.TI.",laki-laki,"Aceh, 14-02-1987",36,76993,19,16,"Gg. Sentot Alibasa No. 781
Pontianak, SU 76993",+62 (737) 295-9765,0,0,0,0,0,0,0,0,0,0,0,0,83935500,36,8,1,0.3073,1,69946249.99,TRUE,Employed,87,0,34,0.13,72520272,Postal Service,E,0,170,2,1,1,0,WA,Malam - Pagi,Awal Bulan,ATM,0,307,sedang
8.85274E+15,Daliman Kusumo,laki-laki,"Gorontalo, 06-12-1998",25,6297,1,1,"Jl. Ronggowarsito No. 0
Tanjungpinang, NB 06297",+62 (0740) 390 0826,0,0,0,0,0,0,0,0,0,0,0,0,106827000,36,16,35,0.1874,0,91566000,FALSE,Employed,5,0,2,0.35,161736078,Accountant/CPA,C,0,332,3,2,0,0,WA,Pagi - Sore,Akhir Bulan,M-Banking,0,325,sedang
7.35756E+15,Hamima Yuliarti,perempuan,"Sulawesi Tengah, 22-03-1972",51,17655,8,9,"Gg. Dipenogoro No. 2
Bogor, Kalimantan Timur 17655",+62 (094) 966 2841,0,0,0,0,0,0,0,0,0,0,0,0,76686525,36,9,12,0.2287,0,30522000,FALSE,Full-time,38,0,4,0.42,40853697,Other,D,0,575,1,3,0,0,WA,Pagi - Sore,Akhir Bulan,ATM,0,334,sedang
8.05319E+15,Kiandra Hassanah,perempuan,"Sulawesi Tengah, 24-01-1971",52,60416,2,12,"Jl. Rumah Sakit No. 52
Tomohon, Kalimantan Tengah 60416",+62 (341) 825-3002,0,0,0,0,0,0,0,0,0,0,0,0,61044000,36,17,63,0.26,0,48275629.99,FALSE,Full-time,68,0,1,0.23,54741207,Other,HR,0,163,0,4,0,0,Telepon,Pagi - Sore,Awal Bulan,M-Banking,0,354,sedang
9.99155E+15,Jayadi Rajata,laki-laki,"Sumatera Utara, 08-12-1970",53,178,7,12,"Jl. Rungkut Industri No. 258
Bukittinggi, Maluku Utara 00178",+62 (648) 648 2240,0,0,0,0,0,0,0,0,0,0,0,0,45783000,36,14,5,0.1902,0,55415234.51,TRUE,Employed,61,0,1,0.35,290035305,Other,C,0,163,0,3,0,0,WA,Malam - Pagi,Awal Bulan,M-Banking,0,211,mudah
5.89562E+15,Farhunnisa Prastuti,laki-laki,"Jawa Timur, 10-08-1975",48,99838,16,7,"Jl. Indragiri No. 8
Binjai, RI 99838",+62 (009) 416-7199,0,0,0,0,0,0,0,0,0,0,0,0,61044000,60,6,50,0.2969,11,63587500.01,FALSE,Full-time,98,0,4,0.11,53581371,Professional,E,0,260,3,3,0,0,Telepon,Pagi - Sore,Akhir Bulan,e-Money,0,462,sulit
9.46337E+15,Janet Haryanti,laki-laki,"Maluku Utara, 19-05-1969",54,59050,15,10,"Gg. Tubagus Ismail No. 81
Tual, Sulawesi Barat 59050",+62 (007) 412-7138,0,0,0,0,0,0,0,0,0,0,0,0,122088000,36,18,32,0.325,0,123359750,TRUE,Full-time,91,0,2,0.15,56603049,Architect,D,0,1049,2,5,0,0,WA,Pagi - Sore,Awal Bulan,e-Money,0,404,sulit
6.90341E+15,Humaira Mandala,laki-laki,"Lampung, 08-02-1994",29,6619,11,4,"Gang Rajiman No. 55
Pekalongan, YO 06619",+62-029-684-0041,0,0,0,0,0,0,0,0,0,0,0,0,61044000,36,9,19,0.3134,1,16191921,FALSE,Other,28,0,8,1.26,96678435,Other,HR,0,136,2,3,0,0,Telepon,Pagi - Sore,Awal Bulan,Langsung,0,393,sulit
6.08837E+15,Natalia Padmasari,perempuan,"Banten, 22-09-1974",49,5195,6,16,"Gg. Pasteur No. 9
Parepare, KB 05195",+62-0592-583-1360,0,0,0,0,0,0,0,0,0,0,0,0,114457500,36,14,27,0.274,0,46291699.99,TRUE,Full-time,50,0,4,0.44,90146727,Executive,D,0,892,3,0,0,0,WA,Malam - Pagi,Awal Bulan,M-Banking,0,358,sedang
1.13167E+15,"Dt. Panji Sirait, S.Pd",perempuan,"Jawa Tengah, 09-08-1980",43,2343,6,15,"Gang Sukabumi No. 05
Kupang, PB 02343",+62-54-812-7971,0,0,0,0,0,0,0,0,0,0,0,0,15261000,36,31,23,0.21,1,38152500,FALSE,Full-time,26,0,8,0.32,43738026,Sales - Commission,HR,0,545,3,3,0,0,WA,Pagi - Sore,Awal Bulan,M-Banking,0,332,sedang
2.17476E+15,Yance Wastuti,laki-laki,"Sumatera Selatan, 17-08-1979",44,70037,8,18,"Gang H.J Maemunah No. 3
Kupang, KT 70037",+62 (957) 550-8561,0,0,0,0,0,0,0,0,0,0,0,0,76305000,36,13,27,0.2725,0,38152500,TRUE,Part-time,3,0,2,0.2,103973193,Other,D,0,1147,2,2,0,0,WA,Pagi - Sore,Akhir Bulan,ATM,0,368,sedang
