debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,debtor_occupation,debtor_company,debtor_number,debtor_number_of_dependents,debtor_education_level,employment_year,residential_zone,criminality_level,violence_level,gangster_culture,monthly_income,monthly_expenses,asset_value,down_payment_percentage,paid_down_payment,loan_amount,interest_rate,tenor,monthly_payment,ltv,loan_purpose,loan_income_expenses_ratio,default_risk,ses,default_score,default_potential,solutions
4133431716345918,Cemplunk Zulaika,perempuan,"Bengkulu, 23-09-1997",26,"Jalan Raya Setiabudhi No. 857
Banjarbaru, KR 12188",12188,6,10,Menikah,Pengusaha,CV Nugroho Melani (Persero) Tbk,+62 (102) 776 3467,0,SMA,2,Zona 6: zona daerah manufaktur berat,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Rendah,4500000,1900000,260000000.0,0.2,4000000,16000000,9,12,1399223.63,75.0,kendaraan bermotor,53.82,Baik,Rendah,350,Netral,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Konseling Keuangan, Bantuan Keuangan Pemerintah"
7873621118387801,"Clara Padmasari, M.Pd",laki-laki,"Jawa Tengah, 13-04-1964",59,"Jalan Cihampelas No. 4
Pekanbaru, Sulawesi Selatan 56126",56126,20,20,Menikah,Pengusaha,UD Hidayat,+62 (808) 299 5117,5,S1,8,Zona 8: zona daerah permukiman sub urban,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Sedang,28500000,8600000,340000000.0,0.25,25000000,75000000,11,18,4538890.68,66.66666666666666,kendaraan bermotor,22.81,Baik,Tinggi,50,Sangat Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Pengelolaan Keuangan Lanjutan"
9937369990430445,"Puti Cinthia Oktaviani, S.IP",laki-laki,"Jawa Tengah, 01-09-1981",42,"Jl. Wonoayu No. 68
Semarang, Riau 98101",98101,2,15,Cerai mati,Buruh,UD Simanjuntak Padmasari (Persero) Tbk,+62 (0582) 416 0892,2,SMA,5,Zona 9: zona daerah industri sub urban,Tingkat Kriminalitas Tinggi,Tingkat Kekerasan Rendah,Sedang,7500000,2600000,150000000.0,0.25,12500000,37500000,9,66,722446.54,66.66666666666666,kendaraan bermotor,14.74,Sangat Baik,Rendah,100,Sangat Baik,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Bantuan Keuangan Pemerintah"
2071079715934185,"Lalita Astuti, M.TI.",laki-laki,"Aceh, 14-02-1987",36,"Gg. Sentot Alibasa No. 781
Pontianak, SU 76993",76993,19,16,Menikah,Pengusaha,Perum Handayani Najmudin Tbk,+62 (737) 295-9765,3,S3,4,Zona 8: zona daerah permukiman sub urban,Tingkat Kriminalitas Tinggi,Tingkat Kekerasan Rendah,Rendah,28000000,13400000,900000000.0,0.2,40000000,160000000,8,48,3906067.57,75.0,kendaraan bermotor,26.75,Sangat Baik,Menengah,50,Sangat Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Edukasi Keuangan Lanjutan"
8852740896362143,Daliman Kusumo,laki-laki,"Gorontalo, 06-12-1998",25,"Jl. Ronggowarsito No. 0
Tanjungpinang, NB 06297",6297,1,1,Cerai hidup,Pegawai Swasta,PD Hardiansyah (Persero) Tbk,+62 (0740) 390 0826,0,SMA,10,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Rendah,8000000,2400000,300000000.0,0.25,100000000,300000000,11,210,3224522.77,66.66666666666666,kredit properti,57.58,Beresiko,Menengah,550,Netral,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Penyederhanaan Kewajiban Keuangan, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang, Edukasi Keuangan Lanjutan"
7357561150554991,Hamima Yuliarti,perempuan,"Sulawesi Tengah, 22-03-1972",51,"Gg. Dipenogoro No. 2
Bogor, Kalimantan Timur 17655",17655,8,9,Cerai mati,Profesional,PT Firmansyah (Persero) Tbk,+62 (094) 966 2841,1,SMA,5,Zona 6: zona daerah manufaktur berat,Tingkat Kriminalitas Tinggi,Tingkat Kekerasan Rendah,Sedang,4500000,2500000,200000000.0,0.2,6000000,24000000,6,36,730126.5,75.0,kendaraan bermotor,36.51,Sangat Baik,Sangat Rendah,225,Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak"
8053189640415342,Kiandra Hassanah,perempuan,"Sulawesi Tengah, 24-01-1971",52,"Jl. Rumah Sakit No. 52
Tomohon, Kalimantan Tengah 60416",60416,2,12,Cerai mati,Pengusaha,PD Prasasta,+62 (341) 825-3002,0,S2,4,Zona 8: zona daerah permukiman sub urban,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Sedang,Sedang,20500000,7300000,620000000.0,0.2,40000000,160000000,8,60,3244223.09,75.0,kendaraan bermotor,24.58,Baik,Menengah,100,Sangat Baik,"Pertimbangkan Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Edukasi Keuangan Lanjutan"
9991549820336113,Jayadi Rajata,laki-laki,"Sumatera Utara, 08-12-1970",53,"Jl. Rungkut Industri No. 258
Bukittinggi, Maluku Utara 00178",178,7,12,Cerai mati,Pengusaha,CV Puspita,+62 (648) 648 2240,4,SMA,5,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Tinggi,Rendah,9500000,4600000,80000000.0,0.2,10000000,40000000,6,54,847074.42,75.0,kendaraan bermotor,17.29,Sangat Baik,Menengah,100,Sangat Baik,"Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Edukasi Keuangan Lanjutan"
5895624548775186,Farhunnisa Prastuti,laki-laki,"Jawa Timur, 10-08-1975",48,"Jl. Indragiri No. 8
Binjai, RI 99838",99838,16,7,Cerai hidup,Pegawai Negeri,CV Pratama Tbk,+62 (009) 416-7199,0,SMA,5,Zona 9: zona daerah industri sub urban,Tingkat Kriminalitas Tinggi,Tingkat Kekerasan Rendah,Sedang,8000000,2500000,140000000.0,0.2,4000000,16000000,11,60,347878.77,75.0,kendaraan bermotor,6.33,Sangat Baik,Menengah,50,Sangat Baik,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Edukasi Keuangan Lanjutan"
9463374064016974,Janet Haryanti,laki-laki,"Maluku Utara, 19-05-1969",54,"Gg. Tubagus Ismail No. 81
Tual, Sulawesi Barat 59050",59050,15,10,Belum menikah,Profesional,UD Narpati Riyanti (Persero) Tbk,+62 (007) 412-7138,5,S3,0,Zona 4: zona permukiman kelas menengah,Tingkat Kriminalitas Sedang,Tingkat Kekerasan Rendah,Sedang,18500000,7400000,900000000.0,0.2,40000000,160000000,6,24,7091297.64,75.0,kendaraan bermotor,63.89,Beresiko,Menengah,550,Netral,"Cairkan aset untuk menutupi pinjaman, Evaluasi keuangan, penyusunan anggaran untuk kebutuhan mendesak, Penyederhanaan Kewajiban Keuangan, Prioritaskan Pembayaran, Dukungan Emosional, Penjadwalan Ulang, Edukasi Keuangan Lanjutan"
