debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,debtor_company,debtor_number,debtor_id,debtor_age,debtor_occupation,monthly_income,debt,dti,monthly_expenses,net_income,asset_value,previous_credit_monthly_income,financial_changes,business_conditions,credit_score,amount_of_late_days,credit_goals,collateral,interest_rate,number_of_dependents,old_tenor,old_collateral,fee_installments,ltv,remaining_loan,arrear_amount,monthly_income_family,monthly_expense_family,family_health,asset_value_family,old_monthly_payments,tenor,monthly_payments,loan_amount
4133431716345918,Cemplunk Zulaika,perempuan,"Bengkulu, 23-09-1997","Jalan Raya Setiabudhi No. 857
Banjarbaru, KR 12188",12188,6,10,Menikah,CV Nugroho Melani (Persero) Tbk,+62 (102) 776 3467,180034427373791,32,Pengusaha,50100000,7925000.0,0.1581836327345309,3100000,47000000,89500000,26900000,23200000,35,414,61,Investasi,52600000,11.101694915254235,0,33,32800000,100000,0.8927985948477751,39800000,2,44200000,24700000,Tidak sehat,38800000,2566954.160246533,164,516521.2639520463,76245000.0
7873621118387801,"Clara Padmasari, M.Pd",laki-laki,"Jawa Tengah, 13-04-1964","Jalan Cihampelas No. 4
Pekanbaru, Sulawesi Selatan 56126",56126,20,20,Menikah,UD Hidayat,+62 (808) 299 5117,213172579065228,28,Pengusaha,37900000,5250000.0,0.1385224274406332,23800000,14100000,13100000,66000000,-28100000,86,399,316,Bisnis,2900000,1.779661016949153,3,54,8100000,870000,1.2772727272727271,300000,1,88000000,36200000,Sehat,47500000,264815.5994978029,75,190667.23163841807,14050000.0
9937369990430445,"Puti Cinthia Oktaviani, S.IP",laki-laki,"Jawa Tengah, 01-09-1981","Jl. Wonoayu No. 68
Semarang, Riau 98101",98101,2,15,Cerai mati,UD Simanjuntak Padmasari (Persero) Tbk,+62 (0582) 416 0892,5342296296607567,18,Pegawai Negeri,48800000,8183333.333333333,0.1676912568306011,34800000,14000000,57600000,68000000,-19200000,-34,746,181,Bisnis,1400000,10.423728813559322,1,6,45400000,670000,0.97485754985755,14200000,3,19500000,15700000,Sehat,72900000,8396497.645951036,129,390534.7742302808,45623333.333333336
2071079715934185,"Lalita Astuti, M.TI.",laki-laki,"Aceh, 14-02-1987","Gg. Sentot Alibasa No. 781
Pontianak, SU 76993",76993,19,16,Menikah,Perum Handayani Najmudin Tbk,+62 (737) 295-9765,4902977810269,31,Pengusaha,30100000,1850000.0,0.0614617940199335,21600000,8500000,42600000,36500000,-6400000,-86,502,128,Bisnis,500000,0.0,1,51,41700000,920000,0.8438388625592417,15900000,7,26100000,27200000,Sehat,20800000,698235.2941176471,51,698235.2941176471,35610000.0
8852740896362143,Daliman Kusumo,laki-laki,"Gorontalo, 06-12-1998","Jl. Ronggowarsito No. 0
Tanjungpinang, NB 06297",6297,1,1,Cerai hidup,PD Hardiansyah (Persero) Tbk,+62 (0740) 390 0826,213146967841564,63,Pegawai Swasta,7900000,2741666.6666666665,0.3470464135021097,7300000,600000,33900000,65300000,-57400000,-61,815,223,Properti pribadi,7100000,0.0,3,45,4900000,870000,1.0284722222222222,5500000,4,99200000,4700000,Tidak sehat,78400000,274259.25925925927,45,274259.25925925927,12341666.666666666
7357561150554991,Hamima Yuliarti,perempuan,"Sulawesi Tengah, 22-03-1972","Gg. Dipenogoro No. 2
Bogor, Kalimantan Timur 17655",17655,8,9,Cerai mati,PT Firmansyah (Persero) Tbk,+62 (094) 966 2841,2283273375530661,57,Pengusaha,9400000,3441666.6666666665,0.3661347517730496,1400000,8000000,86400000,74900000,-65500000,-96,803,231,Investasi,100000,3.4745762711864407,0,24,41000000,660000,0.8837388483373885,23400000,1,4900000,5900000,Tidak sehat,89800000,1565987.1115819204,65,578210.625814863,36321666.66666666
8053189640415342,Kiandra Hassanah,perempuan,"Sulawesi Tengah, 24-01-1971","Jl. Rumah Sakit No. 52
Tomohon, Kalimantan Tengah 60416",60416,2,12,Cerai mati,PD Prasasta,+62 (341) 825-3002,4087061382918902,53,Buruh,33700000,2875000.0,0.0853115727002967,17100000,16600000,91300000,56700000,-23000000,-58,463,207,Bisnis,40200000,8.64406779661017,2,42,50500000,870000,0.8316979051819184,74300000,1,10300000,5600000,Tidak sehat,99800000,1951325.0605326877,144,569136.4759887005,75435000.0
9991549820336113,Jayadi Rajata,laki-laki,"Sumatera Utara, 08-12-1970","Jl. Rungkut Industri No. 258
Bukittinggi, Maluku Utara 00178",178,7,12,Cerai mati,CV Puspita,+62 (648) 648 2240,2270636249915430,25,Pegawai Swasta,51800000,2366666.6666666665,0.0456885456885456,32400000,19400000,71900000,21600000,30200000,-49,538,177,Properti pribadi,6100000,8.305084745762713,3,60,63800000,670000,0.8338578922269909,44900000,2,93300000,23800000,Sehat,36000000,1052123.7288135593,158,399540.65651147824,58286666.66666666
5895624548775186,Farhunnisa Prastuti,laki-laki,"Jawa Timur, 10-08-1975","Jl. Indragiri No. 8
Binjai, RI 99838",99838,16,7,Cerai hidup,CV Pratama Tbk,+62 (009) 416-7199,2223470985257312,23,Pegawai Swasta,50600000,5841666.666666667,0.1154479578392621,31900000,18700000,10100000,51300000,-700000,-4,339,10,Properti pribadi,3200000,4.152542372881356,3,36,5800000,1000000,1.4490740740740742,5100000,1,65300000,10800000,Sehat,1600000,377311.8722536096,85,159802.67530741112,13041666.666666668
9463374064016974,Janet Haryanti,laki-laki,"Maluku Utara, 19-05-1969","Gg. Tubagus Ismail No. 81
Tual, Sulawesi Barat 59050",59050,15,10,Belum menikah,UD Narpati Riyanti (Persero) Tbk,+62 (007) 412-7138,5271208697089928,56,Professional,6300000,2500000.0,0.3968253968253968,2700000,3600000,18100000,17800000,-11500000,30,603,58,Properti pribadi,700000,-2.1186440677966103,2,39,2100000,770000,1.6928571428571428,3200000,1,2500000,2400000,Tidak sehat,48600000,118963.49413298565,14,331398.30508474575,4740000.0
6903411025554080,Humaira Mandala,laki-laki,"Lampung, 08-02-1994","Gang Rajiman No. 55
Pekalongan, YO 06619",6619,11,4,Cerai mati,Perum Kuswoyo Tbk,+62-029-684-0041,3540696183359435,29,Pengusaha,95100000,3208333.333333333,0.0337364178058184,47600000,47500000,40600000,19200000,75900000,-31,371,315,Properti pribadi,800000,11.186440677966102,1,33,38200000,790000,0.8822649572649574,6700000,3,1500000,64600000,Tidak sehat,61000000,1159315.1857558638,165,231863.0371511728,34408333.333333336
6088367608152910,Natalia Padmasari,perempuan,"Banten, 22-09-1974","Gg. Pasteur No. 9
Parepare, KB 05195",5195,6,16,Menikah,PT Dabukke Aryani,+62-0592-583-1360,676162196213,40,Buruh,8500000,733333.3333333334,0.0862745098039215,5900000,2600000,50400000,39800000,-31300000,69,709,175,Lainnya,0,5.593220338983051,5,6,43000000,680000,0.8170542635658915,11300000,3,17400000,2600000,Sehat,7500000,6183069.6798493415,72,515255.8066541118,35133333.333333336
1131668068547401,"Dt. Panji Sirait, S.Pd",perempuan,"Jawa Tengah, 09-08-1980","Gang Sukabumi No. 05
Kupang, PB 02343",2343,6,15,Menikah,PD Rahimah Sitorus (Persero) Tbk,+62-54-812-7971,6011880329229743,58,Pengusaha,27700000,2250000.0,0.0812274368231047,25200000,2500000,4400000,36900000,-9200000,81,824,221,Bisnis,400000,2.372881355932204,1,6,2200000,260000,1.6653846153846157,900000,3,30400000,6100000,Sehat,37300000,738790.9604519774,34,130374.87537387836,4330000.0
2174760896782585,Yance Wastuti,laki-laki,"Sumatera Selatan, 17-08-1979","Gang H.J Maemunah No. 3
Kupang, KT 70037",70037,8,18,Belum menikah,PT Maheswara,+62 (957) 550-8561,6011063621246513,43,Pegawai Swasta,83300000,5808333.333333333,0.0697278911564625,1100000,82200000,92800000,98800000,-15500000,-33,607,350,Bisnis,300000,14.23728813559322,5,12,89700000,610000,0.864537037037037,1900000,3,27400000,82500000,Tidak sehat,12400000,7407177.495291901,180,493811.8330194601,77808333.33333333
7778883712231175,Kacung Nasyidah,laki-laki,"Bali, 24-09-1978","Gg. Otto Iskandardinata No. 490
Madiun, DKI Jakarta 76479",76479,3,3,Belum menikah,PD Hasanah Tbk,+62 (18) 322 3046,675966005729,48,Buruh,20600000,4950000.0,0.2402912621359223,13800000,6800000,20100000,10100000,10500000,-72,482,88,Investasi,5300000,2.4576271186440675,2,6,900000,750000,1.5983870967741935,7800000,3,24200000,7300000,Sehat,90500000,1692258.4745762711,35,290101.45278450364,9910000.0
6256715242912612,Cinta Saefullah,perempuan,"Sulawesi Tengah, 10-09-1987","Jl. W.R. Supratman No. 345
Pekalongan, Jambi 89737",89737,20,19,Cerai mati,CV Irawan Halimah Tbk,+62 (32) 236 9435,4862797383229986,33,Pengusaha,65400000,7308333.333333333,0.1117482161060142,16300000,49100000,42100000,41200000,24200000,82,438,180,Lainnya,700000,0.0,0,48,40300000,270000,0.9782520325203252,22000000,4,35500000,15500000,Sehat,32600000,835590.2777777779,48,835590.2777777779,40108333.333333336
9330871446196917,"Gasti Gunawan, M.TI.",laki-laki,"Gorontalo, 27-11-1968","Gang Kendalsari No. 3
Tanjungbalai, Nusa Tenggara Barat 03928",3928,4,10,Cerai hidup,CV Thamrin (Persero) Tbk,+62 (398) 277-7625,30020485020095,53,Pegawai Swasta,63900000,7025000.0,0.1099374021909233,27600000,36300000,69200000,82100000,-18200000,5,340,290,Bisnis,3400000,8.559322033898304,1,18,38400000,280000,0.9680622009569378,33200000,3,12500000,38400000,Sehat,32200000,2440473.870056497,119,369147.3080757727,40465000.0
6199051285677998,"Puti Keisha Laksmiwati, M.M.",laki-laki,"DI Yogyakarta, 14-03-1964","Jalan Gedebage Selatan No. 4
Banjar, KR 04570",4570,7,16,Cerai hidup,PD Maryadi Putra,+62 (035) 024 8342,5187313249573891,49,Pegawai Swasta,6900000,2725000.0,0.394927536231884,1000000,5900000,71000000,55200000,-48300000,-70,427,179,Investasi,7000000,5.677966101694915,3,3,39300000,680000,0.8588552915766738,30900000,1,88200000,6400000,Tidak sehat,98000000,14007614.406779662,70,600326.3317191284,39765000.0
5914782805208768,R.M. Purwadi Sirait,laki-laki,"Sulawesi Tengah, 10-04-1979","Jl. Tebet Barat Dalam No. 5
Tebingtinggi, Banten 94704",94704,5,6,Cerai hidup,UD Widodo Anggriawan Tbk,+62 (0161) 212 2798,576503720640,64,Pegawai Swasta,44600000,6233333.333333333,0.1397608370702541,27400000,17200000,91000000,80500000,-35900000,88,747,132,Lainnya,1600000,10.084745762711863,2,30,83400000,90000,0.8733333333333333,23200000,3,85400000,39200000,Tidak sehat,34700000,2723985.875706215,149,548453.5320213855,74233333.33333333
6964489007922506,Rachel Namaga,perempuan,"Jambi, 05-04-1995","Jalan Lembong No. 226
Ternate, KU 24237",24237,13,9,Cerai mati,UD Nurdiyanti Maheswara Tbk,+62 (929) 388-3632,30129679438540,19,Pengusaha,31100000,5841666.666666667,0.1878349410503751,23600000,7500000,5500000,44700000,-13600000,-50,803,161,Investasi,3400000,0.0,5,33,1700000,180000,1.945424836601308,2000000,4,86300000,29900000,Sehat,33000000,300656.5656565657,33,300656.5656565657,9921666.666666668
