debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,num_of_dependents,debtor_education_level,debtor_occupation,debtor_company,debtor_number,monthly_income,monthly_expense,loan_type,debtor_tenor,loan_amount,payment_history_jan,payment_history_feb,payment_history_mar,payment_history_apr,payment_history_may,payment_history_jun,payment_history_jul,payment_history_aug,payment_history_sep,payment_history_oct,payment_history_nov,payment_history_dec,debtor_aging,transaction_frequency,remaining_loan,billing_frequency,billing_type,debtor_response,consumerism_level,debtor_mode,collector_type,collector_reputation,collector_fee,transportation_type,distance,travel_frequency,transportation_cost,remedial_score,remedial_label
4133431716345918,Cemplunk Zulaika,perempuan,"Bengkulu, 23-09-1997",51,"Jalan Raya Setiabudhi No. 857
Banjarbaru, KR 12188",12188,6,10,Menikah,3,S2,Professional,CV Nugroho Melani (Persero) Tbk,+62 (102) 776 3467,5928786,4150150,Pinjaman Pribadi,17,30388758,1,0,1,2,3,3,4,5,5,4,4,5,Diragukan,7,17938306,2,Hukum,Positif,Rendah,Membayar utang,Penagihan hukum,Sangat Baik,8184763,Motor,201,2,291280,611,No Remedial
7873621118387801,"Clara Padmasari, M.Pd",laki-laki,"Jawa Tengah, 13-04-1964",38,"Jalan Cihampelas No. 4
Pekanbaru, Sulawesi Selatan 56126",56126,20,20,Menikah,3,D3,Pegawai Swasta,UD Hidayat,+62 (808) 299 5117,4360493,3052345,Kartu Kredit,18,23844726,0,1,1,2,3,3,3,4,4,3,2,2,DPK,10,10763246,2,Surat,Positif,Rendah,Membayar utang,Komunikasi,Baik,7620580,Mobil,194,2,331044,555,No Remedial
9937369990430445,"Puti Cinthia Oktaviani, S.IP",laki-laki,"Jawa Tengah, 01-09-1981",44,"Jl. Wonoayu No. 68
Semarang, Riau 98101",98101,2,15,Cerai Mati,0,D3,Pegawai Negeri,UD Simanjuntak Padmasari (Persero) Tbk,+62 (0582) 416 0892,5291992,2116797,Pinjaman Pribadi,18,57440718,0,1,0,0,0,0,0,0,1,2,3,2,DPK,10,25688768,3,Surat,Positif,Rendah,Membayar utang,Komunikasi,Sangat Baik,7242738,Mobil,160,2,334444,888,Remedial
2071079715934185,"Lalita Astuti, M.TI.",laki-laki,"Aceh, 14-02-1987",37,"Gg. Sentot Alibasa No. 781
Pontianak, SU 76993",76993,19,16,Menikah,3,S1,Pegawai Swasta,Perum Handayani Najmudin Tbk,+62 (737) 295-9765,4751809,3326266,Pinjaman Pribadi,16,22923312,0,0,1,2,3,4,4,3,3,2,1,2,DPK,10,8667882,2,Surat,Positif,Rendah,Membayar utang,Komunikasi,Sangat Baik,7198468,Mobil,216,2,311130,777,Remedial
8852740896362143,Daliman Kusumo,laki-laki,"Gorontalo, 06-12-1998",35,"Jl. Ronggowarsito No. 0
Tanjungpinang, NB 06297",6297,1,1,Menikah,3,S1,Pegawai Negeri,PD Hardiansyah (Persero) Tbk,+62 (0740) 390 0826,6875204,4812643,Pinjaman Pribadi,18,37312668,0,1,2,3,2,2,2,2,3,4,4,3,DPK,9,18749619,1,Telepon,Positif,Rendah,Membayar utang,Komunikasi,Sangat Baik,8193780,Motor,191,2,282405,777,Remedial
7357561150554991,Hamima Yuliarti,perempuan,"Sulawesi Tengah, 22-03-1972",29,"Gg. Dipenogoro No. 2
Bogor, Kalimantan Timur 17655",17655,8,9,Menikah,3,SMA,Pegawai Swasta,PT Firmansyah (Persero) Tbk,+62 (094) 966 2841,4472597,3130818,Pinjaman Bisnis,18,24232806,0,1,0,0,0,1,0,0,0,0,0,0,Lancar,12,0,1,Telepon,Positif,Rendah,Membayar utang,Komunikasi,Baik,7455827,Motor,200,2,313341,555,No Remedial
8053189640415342,Kiandra Hassanah,perempuan,"Sulawesi Tengah, 24-01-1971",57,"Jl. Rumah Sakit No. 52
Tomohon, Kalimantan Tengah 60416",60416,2,12,Belum Menikah,0,S3,Pengusaha,PD Prasasta,+62 (341) 825-3002,7466092,2986437,Pinjaman Bisnis,18,80903466,0,0,0,0,0,0,1,0,1,1,1,1,DPK,11,31627261,2,Surat,Positif,Rendah,Membayar utang,Komunikasi,Baik,7131046,Mobil,187,2,282315,833,Remedial
9991549820336113,Jayadi Rajata,laki-laki,"Sumatera Utara, 08-12-1970",36,"Jl. Rungkut Industri No. 258
Bukittinggi, Maluku Utara 00178",178,7,12,Menikah,3,D3,Pegawai Negeri,CV Puspita,+62 (648) 648 2240,5061813,3543269,Pinjaman Bisnis,17,25901591,1,2,3,4,5,6,7,6,5,5,5,6,Diragukan,6,16790327,1,Hukum,Negatif,Rendah,Kabur,Penagihan hukum,Baik,7537513,Mobil,198,2,305434,277,No Remedial
5895624548775186,Farhunnisa Prastuti,laki-laki,"Jawa Timur, 10-08-1975",43,"Jl. Indragiri No. 8
Binjai, RI 99838",99838,16,7,Belum Menikah,0,S1,Pegawai Negeri,CV Pratama Tbk,+62 (009) 416-7199,5950377,2380151,Pinjaman Pribadi,20,71763340,0,1,0,0,0,1,1,0,0,1,2,2,DPK,10,36061080,2,Telepon,Positif,Rendah,Membayar utang,Komunikasi,Sangat Baik,7238228,Mobil,211,2,331397,944,Remedial
9463374064016974,Janet Haryanti,laki-laki,"Maluku Utara, 19-05-1969",35,"Gg. Tubagus Ismail No. 81
Tual, Sulawesi Barat 59050",59050,15,10,Cerai Hidup,3,S1,Pegawai Negeri,UD Narpati Riyanti (Persero) Tbk,+62 (007) 412-7138,5027984,3519589,Pinjaman Bisnis,16,24215040,0,0,0,0,1,0,0,1,0,1,0,0,Lancar,12,0,3,Telepon,Positif,Rendah,Membayar utang,Komunikasi,Sangat Baik,7464715,Motor,224,2,312143,444,No Remedial
