debtor_name;debtor_nik;debtor_address;debtor_zip;debtor_rt;debtor_rw;debtor_birth_place;debtor_age;debtor_number;debtor_occupation;debtor_marital_status;debtor_company;debtor_gender;debtor_education_level;employment_type;number_of_dependents;net_income;payment_date;loan_amount;tenor;amount_of_late;late_payment_amount;credit_score;arrears_amounts;aset;bil1_late1;bill_late2;bill_late3;bill_late4;bill_late5;bill_late6;bill_late7;bill_late8;bill_late9;bill_late10;bill_late11;bill_late12;arrears1;arrears2;arrears3;arrears4;arrears5;arrears6;arrears7;arrears8;arrears9;arrears10;arrears11;arrears12;aging;credit_risk;loss_reverse
Cemplunk Zulaika;4,13343E+15;"Jalan Raya Setiabudhi No. 857
Banjarbaru, KR 12188";12188;6;10;Bengkulu, 23-09-1997;26;+62 (102) 776 3467;Pengusaha;Menikah;CV Nugroho Melani (Persero) Tbk;perempuan;D3;Retired;3;15500000;2023-04-18;62500000;21;2;1;670;0;11000000;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;0
Clara Padmasari, M.Pd;7,87362E+15;"Jalan Cihampelas No. 4
Pekanbaru, Sulawesi Selatan 56126";56126;20;20;Jawa Tengah, 13-04-1964;59;+62 (808) 299 5117;Pengusaha;Menikah;UD Hidayat;laki-laki;D3;Full-time;3;17500000;2023-08-26;70833333;18;31;3;402;1;17000000;2;0;0;0;13;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;1;0;DPK;Tertagih dengan resiko rendah;17708333
Puti Cinthia Oktaviani, S.IP;9,93737E+15;"Jl. Wonoayu No. 68
Semarang, Riau 98101";98101;2;15;Jawa Tengah, 01-09-1981;42;+62 (0582) 416 0892;Buruh;Cerai mati;UD Simanjuntak Padmasari (Persero) Tbk;laki-laki;D2;Full-time;4;17500000;2023-08-03;59333333;17;0;0;505;0;14500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Lancar;Tertagih dengan resiko rendah;0
Lalita Astuti, M.TI.;2,07108E+15;"Gg. Sentot Alibasa No. 781
Pontianak, SU 76993";76993;19;16;Aceh, 14-02-1987;36;+62 (737) 295-9765;Pengusaha;Menikah;Perum Handayani Najmudin Tbk;laki-laki;D2;Retired;3;15500000;2023-07-02;61166667;17;64;5;508;1;11500000;20;8;0;10;0;0;5;21;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;DPK;Tertagih dengan resiko rendah;15291667
Daliman Kusumo;8,85274E+15;"Jl. Ronggowarsito No. 0
Tanjungpinang, NB 06297";6297;1;1;Gorontalo, 06-12-1998;25;+62 (0740) 390 0826;Pegawai Swasta;Cerai hidup;PD Hardiansyah (Persero) Tbk;laki-laki;SMA;Contract;5;8700000;2023-09-10;56166667;15;14;2;371;0;5500000;10;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;0
Hamima Yuliarti;7,35756E+15;"Gg. Dipenogoro No. 2
Bogor, Kalimantan Timur 17655";17655;8;9;Sulawesi Tengah, 22-03-1972;51;+62 (094) 966 2841;Profesional;Cerai mati;PT Firmansyah (Persero) Tbk;perempuan;D3;Retired;4;10500000;2023-04-26;60000000;16;11;2;389;0;4000000;0;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;0
Kiandra Hassanah;8,05319E+15;"Jl. Rumah Sakit No. 52
Tomohon, Kalimantan Tengah 60416";60416;2;12;Sulawesi Tengah, 24-01-1971;52;+62 (341) 825-3002;Pengusaha;Cerai mati;PD Prasasta;perempuan;S1;Self-employed;2;25000000;2023-05-19;138000000;29;19;2;435;0;15500000;0;0;13;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DPK;Tidak tertagih dengan resiko rendah;0
Jayadi Rajata;9,99155E+15;"Jl. Rungkut Industri No. 258
Bukittinggi, Maluku Utara 00178";178;7;12;Sumatera Utara, 08-12-1970;53;+62 (648) 648 2240;Pengusaha;Cerai mati;CV Puspita;laki-laki;D1;Retired;5;18500000;2023-03-27;63666667;2;166;8;110;3;12000000;0;0;28;6;12;22;29;0;0;18;27;24;0;0;1;0;0;1;2;0;0;1;2;3;Diragukan;Tertagih dengan resiko tinggi;47750000
Farhunnisa Prastuti;5,89562E+15;"Jl. Indragiri No. 8
Binjai, RI 99838";99838;16;7;Jawa Timur, 10-08-1975;48;+62 (009) 416-7199;Pegawai Negeri;Cerai hidup;CV Pratama Tbk;laki-laki;S2;Retired;4;21000000;2023-01-13;67166667;12;79;6;185;2;9500000;3;1;5;30;0;0;0;23;17;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;DPK;Tertagih dengan resiko tinggi;33583333
Janet Haryanti;9,46337E+15;"Gg. Tubagus Ismail No. 81
Tual, Sulawesi Barat 59050";59050;15;10;Maluku Utara, 19-05-1969;54;+62 (007) 412-7138;Profesional;Belum menikah;UD Narpati Riyanti (Persero) Tbk;laki-laki;SMA;Contract;7;8700000;2023-08-04;51500000;10;124;8;348;3;9500000;23;0;0;8;0;4;15;26;19;12;0;17;1;0;0;0;0;0;1;2;3;0;0;1;Diragukan;Tertagih dengan resiko tinggi;38625000
Humaira Mandala;6,90341E+15;"Gang Rajiman No. 55
Pekalongan, YO 06619";6619;11;4;Lampung, 08-02-1994;29;+62-029-684-0041;Pegawai Negeri;Cerai mati;Perum Kuswoyo Tbk;laki-laki;S2;Contract;3;19000000;2023-01-06;57000000;21;4;1;434;0;13000000;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;0
Natalia Padmasari;6,08837E+15;"Gg. Pasteur No. 9
Parepare, KB 05195";5195;6;16;Banten, 22-09-1974;49;+62-0592-583-1360;Buruh;Menikah;PT Dabukke Aryani;perempuan;S3;Retired;3;18000000;2023-06-10;57500000;25;20;1;582;1;10500000;0;20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;14375000
Dt. Panji Sirait, S.Pd;1,13167E+15;"Gang Sukabumi No. 05
Kupang, PB 02343";2343;6;15;Jawa Tengah, 09-08-1980;43;+62-54-812-7971;Buruh;Menikah;PD Rahimah Sitorus (Persero) Tbk;perempuan;S3;Retired;3;18000000;2023-04-07;69500000;11;136;9;296;3;7500000;12;10;8;18;22;19;9;23;15;0;0;0;0;0;0;1;2;3;0;1;2;0;0;0;Diragukan;Tertagih dengan resiko tinggi;52125000
Yance Wastuti;2,17476E+15;"Gang H.J Maemunah No. 3
Kupang, KT 70037";70037;8;18;Sumatera Selatan, 17-08-1979;44;+62 (957) 550-8561;Pegawai Swasta;Belum menikah;PT Maheswara;laki-laki;D1;Contract;3;5500000;2023-07-04;57666667;13;49;3;363;1;6000000;0;0;0;20;0;0;0;6;23;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;DPK;Tertagih dengan resiko rendah;14416667
Kacung Nasyidah;7,77888E+15;"Gg. Otto Iskandardinata No. 490
Madiun, DKI Jakarta 76479";76479;3;3;Bali, 24-09-1978;45;+62 (18) 322 3046;Buruh;Belum menikah;PD Hasanah Tbk;laki-laki;S1;Retired;2;18000000;2023-05-02;65666667;2;104;9;265;2;3000000;2;20;0;11;17;21;0;5;19;0;7;2;0;1;0;0;1;2;0;0;1;0;0;0;Kurang lancar;Tertagih dengan resiko tinggi;32833333
Cinta Saefullah;6,25672E+15;"Jl. W.R. Supratman No. 345
Pekalongan, Jambi 89737";89737;20;19;Sulawesi Tengah, 10-09-1987;36;+62 (32) 236 9435;Pegawai Negeri;Cerai mati;CV Irawan Halimah Tbk;perempuan;S1;Retired;2;18000000;2023-01-26;78166667;19;32;3;668;0;8500000;0;0;0;0;0;0;9;11;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;0
Gasti Gunawan, M.TI.;9,33087E+15;"Gang Kendalsari No. 3
Tanjungbalai, Nusa Tenggara Barat 03928";3928;4;10;Gorontalo, 27-11-1968;55;+62 (398) 277-7625;Profesional;Cerai hidup;CV Thamrin (Persero) Tbk;laki-laki;S2;Full-time;4;19000000;2023-09-18;59500000;8;109;6;290;3;3500000;23;19;15;0;0;27;0;18;0;0;0;7;1;2;3;0;0;1;0;1;0;0;0;0;Kurang lancar;Tertagih dengan resiko tinggi;44625000
Puti Keisha Laksmiwati, M.M.;6,19905E+15;"Jalan Gedebage Selatan No. 4
Banjar, KR 04570";4570;7;16;DI Yogyakarta, 14-03-1964;59;+62 (035) 024 8342;Pegawai Swasta;Cerai hidup;PD Maryadi Putra;laki-laki;D1;Retired;5;10500000;2023-05-24;60333333;8;152;8;261;1;4000000;30;0;28;0;0;25;6;16;0;6;29;12;1;0;1;0;0;1;0;1;0;0;1;0;Diragukan;Tertagih dengan resiko rendah;15083333
R.M. Purwadi Sirait;5,91478E+15;"Jl. Tebet Barat Dalam No. 5
Tebingtinggi, Banten 94704";94704;5;6;Sulawesi Tengah, 10-04-1979;44;+62 (0161) 212 2798;Pegawai Negeri;Cerai hidup;UD Widodo Anggriawan Tbk;laki-laki;D2;Retired;4;10500000;2023-03-21;61166667;10;77;8;371;1;5500000;0;6;7;30;8;3;17;3;0;0;0;3;0;0;0;1;0;0;1;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;15291667
Rachel Namaga;6,96449E+15;"Jalan Lembong No. 226
Ternate, KU 24237";24237;13;9;Jambi, 05-04-1995;28;+62 (929) 388-3632;Pengusaha;Cerai mati;UD Nurdiyanti Maheswara Tbk;perempuan;D1;Retired;5;18500000;2023-01-19;77666667;6;98;6;183;2;10500000;0;0;0;14;0;18;23;0;6;14;0;23;0;0;0;0;0;1;2;0;0;0;0;1;Kurang lancar;Tertagih dengan resiko tinggi;38833333
Vera Wibowo;4,54491E+15;"Jl. Otto Iskandardinata No. 281
Salatiga, Aceh 40335";40335;8;14;Kalimantan Barat, 13-12-1966;57;+62 (006) 617 8123;Profesional;Cerai hidup;Perum Marbun;perempuan;S2;Retired;4;14000000;2023-09-07;63000000;10;27;2;424;1;4500000;0;0;0;0;2;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;1;0;DPK;Tertagih dengan resiko rendah;15750000
Tgk. Malika Maheswara;3,1793E+15;"Gg. Moch. Toha No. 7
Bima, SS 94584";94584;14;14;Jawa Timur, 22-05-1990;33;+62 (030) 223-2726;Pengusaha;Cerai hidup;UD Melani Suryono (Persero) Tbk;perempuan;D2;Retired;5;10500000;2023-08-11;65166667;6;44;2;380;1;8000000;0;22;0;22;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;DPK;Tertagih dengan resiko rendah;16291667
Cakrawala Suwarno;3,69431E+15;"Jl. PHH. Mustofa No. 6
Bitung, DKI Jakarta 73692";73692;20;13;Jambi, 04-02-1964;59;+62 (0071) 566-5821;Pengusaha;Belum menikah;PT Kuswandari;laki-laki;S1;Retired;2;13000000;2023-07-10;55333333;19;76;4;316;1;4500000;14;0;0;0;0;11;0;0;0;29;0;22;0;0;0;0;0;0;0;0;0;1;0;1;DPK;Tertagih dengan resiko rendah;13833333
Dina Iswahyudi;4,40257E+15;"Jalan Dipatiukur No. 10
Tebingtinggi, MA 09462";9462;12;11;Kepulauan Riau, 19-05-1976;47;+62 (028) 155-3876;Pegawai Swasta;Cerai mati;PD Winarsih;laki-laki;S2;Retired;4;13000000;2023-03-30;49000000;19;39;2;488;1;9000000;0;20;0;0;0;0;0;0;0;19;0;0;0;1;0;0;0;0;0;0;0;1;0;0;DPK;Tertagih dengan resiko rendah;12250000
Hilda Hutapea;6,87841E+15;"Jalan Moch. Toha No. 897
Mataram, JB 17381";17381;3;9;Sumatera Selatan, 27-10-1979;44;+62 (0969) 829-8285;Pegawai Negeri;Belum menikah;PD Namaga Tbk;laki-laki;S2;Retired;3;23000000;2023-06-23;55666667;7;140;9;156;2;6000000;7;0;1;0;0;23;29;11;17;24;12;16;0;0;0;0;0;1;2;0;1;2;0;1;Diragukan;Tertagih dengan resiko tinggi;27833333
Cut Nilam Simbolon, S.H.;6,56273E+15;"Gang Rajiman No. 723
Bukittinggi, Kalimantan Utara 96498";96498;17;20;Jawa Timur, 04-07-1969;54;+62 (031) 592 1352;Buruh;Cerai mati;PD Januar;perempuan;S2;Retired;3;13000000;2023-06-12;59666667;17;0;0;474;0;4500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Lancar;Tertagih dengan resiko rendah;0
Galur Tarihoran;9,5106E+15;"Jl. Rajawali Barat No. 6
Sukabumi, KU 21852";21852;6;2;DKI Jakarta, 15-06-1988;35;+62-087-038-9524;Buruh;Cerai hidup;UD Ramadan Lestari Tbk;perempuan;S1;Retired;4;18000000;2023-02-04;69333333;11;78;3;104;2;9000000;0;0;25;0;0;0;27;26;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;DPK;Tertagih dengan resiko tinggi;34666667
Eli Namaga;8,96763E+15;"Jl. Joyoboyo No. 918
Tasikmalaya, SN 76602";76602;7;11;Gorontalo, 06-10-1984;39;+62 (05) 799-3277;Pengusaha;Menikah;UD Permadi;perempuan;SMP;Internship;6;2600000;2023-07-20;21166667;2;56;6;8;1;4000000;24;0;0;11;13;0;0;0;1;5;2;0;1;0;0;0;0;0;0;0;0;0;0;0;DPK;Tidak tertagih dengan resiko tinggi;5291667
Respati Firmansyah, S.H.;4,08951E+15;"Jalan Kiaracondong No. 0
Binjai, NT 59829";59829;17;17;Sumatera Utara, 07-10-1999;24;+62 (0451) 139-5625;Pegawai Swasta;Cerai mati;PT Januar (Persero) Tbk;perempuan;S1;Retired;3;13000000;2023-05-20;58666667;11;59;3;410;2;6000000;0;0;0;0;0;10;23;26;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;DPK;Tertagih dengan resiko tinggi;29333333
