collector_name;collector_address;collector_number;collector_nik;collector_zip;collector_rt;collector_rw;collector_birth_place;collector_age;collector_marital_status;collector_gender;avg_bill_methods;debtor_volume_handled;bill_amount_collected;total_actual;total_cost;success_rate;time_to_collect
Sean Strong;"Gang Indragiri No. 194
Tebingtinggi, NT 48385";+62 (575) 348-4217;8,40804E+15;48385;1;2;Kepulauan Bangka Belitung, 29-05-1978;45;Menikah;laki-laki;sms or WA;10;61600000;67200000;72549;92;0
Heather Velez;"Gg. Cikutra Timur No. 558
Banjar, BE 92453";+62-0235-141-1521;7,57277E+15;92453;15;11;Sumatera Selatan, 17-05-1991;32;Cerai mati;perempuan;sms or WA;15;32800000;140200000;86235;23;3
Andrew Murray II;"Jalan Medokan Ayu No. 862
Surakarta, Kepulauan Riau 13784";+62 (038) 501 4020;2,75633E+15;13784;6;9;Sumatera Utara, 22-04-1961;62;Cerai hidup;laki-laki;sms or WA;10;38400000;55300000;99363;69;1
Dr. Lee Torres;"Jalan Kapten Muslihat No. 78
Batam, Nusa Tenggara Barat 37123";+62 (0882) 879 3302;1,90223E+15;37123;19;3;Sulawesi Selatan, 20-06-1968;55;Cerai mati;perempuan;sms or WA;9;32500000;57400000;76118;57;1
Sierra Richards;"Jl. Ciwastra No. 8
Tarakan, Jawa Timur 91406";+62 (031) 513 8460;5,96835E+15;91406;7;10;Banten, 21-05-1970;53;Menikah;perempuan;sms or WA;6;21000000;25400000;61461;83;4
Gary Robinson;"Jl. Jamika No. 43
Sungai Penuh, SU 92428";+62 (911) 074 3154;9,27788E+15;92428;19;18;Kepulauan Riau, 22-03-1990;33;Belum menikah;laki-laki;sms or WA;7;12800000;37200000;71842;34;4
Daniel Berry;"Gang Raya Setiabudhi No. 0
Bengkulu, Kalimantan Selatan 03669";+62-091-476-5602;5,81344E+15;3669;1;16;Sulawesi Barat, 13-03-1989;34;Cerai hidup;perempuan;sms or WA;5;4100000;41100000;48652;10;1
Randall Hoffman;"Gang Rawamangun No. 6
Solok, YO 31176";+62 (32) 577 3721;9,14041E+15;31176;7;7;Sumatera Selatan, 24-01-1985;38;Belum menikah;laki-laki;sms or WA;8;35500000;37700000;50586;94;3
Debbie Parker;"Jalan Surapati No. 08
Yogyakarta, AC 51774";+62 (862) 738 5433;4,36246E+15;51774;18;17;Maluku, 06-04-1969;54;Menikah;perempuan;sms or WA;7;22400000;41700000;62241;54;3
Samantha James;"Jl. Pelajar Pejuang No. 436
Banjarmasin, KI 22515";+62-0301-472-0959;9,52778E+15;22515;3;19;DKI Jakarta, 24-11-1980;43;Cerai hidup;laki-laki;sms or WA;9;48300000;65200000;82064;74;0
Lauren Robertson;"Gg. Wonoayu No. 367
Tidore Kepulauan, Kepulauan Bangka Belitung 90451";+62 (083) 179 3664;4,87331E+15;90451;11;8;Sumatera Selatan, 06-10-1977;46;Menikah;perempuan;sms or WA;14;11300000;14500000;113156;78;1
Tara Osborne;"Jl. Ronggowarsito No. 6
Kota Administrasi Jakarta Pusat, Riau 18385";+62 (095) 338-4299;9,51575E+15;18385;2;17;Nusa Tenggara Barat, 07-04-1989;34;Menikah;laki-laki;sms or WA;10;60400000;83200000;59618;73;1
Sean Harper;"Gg. Sukabumi No. 14
Bitung, Kalimantan Utara 31963";+62-0268-327-9640;4,49766E+15;31963;8;12;Maluku Utara, 06-01-1991;32;Menikah;laki-laki;sms or WA;11;25700000;31500000;114280;82;4
