collector_name,collector_number,collector_address,collector_nik,collector_gender,collector_education_level,collector_location,action_code_history,collector_personality,collector_martial_status
Jessica Smith,+62 (302) 445-9719,"Jl. HOS. Cokroaminoto No. 25
Padang, Sumatera Selatan 56070",8089011002156746,laki-laki,SMA,Yogyakarta,OTHR,sedang,Menikah
Teresa Aguilar,+62 (043) 997-9382,"Jalan Gegerkalong Hilir No. 976
Kendari, Bali 35587",6274085100713809,laki-laki,D3,Bekasi,DISP,kalem,Belum menikah
Angela Miranda,+62 (29) 294-2897,"Jl. Peta No. 557
Makassar, GO 04270",3223071799591879,laki-laki,SMA,Palembang,CBLT,kalem,Belum menikah
Andre Mccormick,0851636011,"Jl. PHH. Mustofa No. 2
Tebingtinggi, Sulawesi Utara 42165",2036118378911090,laki-laki,SMA,Palembang,INCO,kalem,Belum menikah
Marcus Gilbert,+62-0113-906-6106,"Jalan Kutai No. 449
Tual, RI 69900",9621377255291653,laki-laki,D3,Bekasi,DISC,sedang,Menikah
Clayton Wilson,+62 (18) 636-6536,"Gang Cihampelas No. 7
Bandar Lampung, BA 34255",7841321686849156,laki-laki,D3,Bekasi,INCO,kalem,Belum menikah
John Hanna,(0241) 188 3310,"Gang Surapati No. 12
Palopo, KR 13281",4511943321506783,laki-laki,SMA,Bekasi,PTPR,sedang,Menikah
Joshua Owens,+62-964-883-8236,"Jalan Surapati No. 009
Malang, ST 12033",1799548011018807,laki-laki,SMP,Palembang,DISP,kalem,Belum menikah
Ann Riley,+62 (612) 901 3660,"Jalan Rajawali Timur No. 02
Padang, Maluku 09212",9909801599790248,laki-laki,SMP,Palembang,ATPU,kalem,Belum menikah
Justin Newman,+62 (0140) 247 8822,"Gang Waringin No. 24
Kota Administrasi Jakarta Utara, Papua Barat 21627",3103062212222752,laki-laki,D3,Tangerang,WRPH,sedang,Menikah
Mr. David Mahoney,+62-66-857-8515,"Jl. Asia Afrika No. 84
Prabumulih, SR 28988",8625817616382931,laki-laki,SMP,Makassar,OTHR,kalem,Belum menikah
Joseph Smith,084 678 9519,"Gg. Rajawali Timur No. 0
Banda Aceh, Sulawesi Utara 50713",5482111726058516,laki-laki,D3,Yogyakarta,HUPD,sedang,Menikah
Abigail Thomas,0886205994,"Gg. Rajawali Barat No. 786
Pangkalpinang, GO 90105",4630716162962290,laki-laki,SMA,Bekasi,PTPR,sedang,Belum menikah
James Brown,087 961 1379,"Gg. Suryakencana No. 11
Sibolga, MU 54615",5224398340779239,laki-laki,D3,Malang,DISC,sedang,Menikah
Carly Grant,(099) 743 6287,"Jl. Astana Anyar No. 7
Sibolga, KR 18112",4501765837199226,laki-laki,D3,Bekasi,CBLT,sedang,Menikah
Timothy Wise,+62-009-700-6887,"Gang Peta No. 9
Tanjungpinang, Aceh 03815",3658783409865248,laki-laki,S1,Padang,HUPD,sedang,Menikah
Brenda Torres,0856938268,"Jl. Ahmad Dahlan No. 5
Bima, KT 38925",8182193696412268,laki-laki,SMA,Tangerang,PTPR,sedang,Menikah
Donald Drake,(0144) 081-1853,"Gang Cikapayang No. 493
Banjarbaru, NT 87597",4284633257558089,laki-laki,S2,Balikpapan,HUPD,sedang,Menikah
Christopher Blevins,+62-028-400-8772,"Jalan Gardujati No. 97
Pematangsiantar, Banten 74888",1877948282502770,laki-laki,S1,Batam,DISC,sedang,Menikah
Roy Williams,0804200667,"Jalan Jend. A. Yani No. 1
Sabang, PA 64877",7748458908272392,laki-laki,D3,Bekasi,DISC,sedang,Menikah
Gregory Peterson,+62 (0266) 870-1474,"Gg. Kendalsari No. 4
Mataram, JI 16960",1829497958154195,laki-laki,D3,Yogyakarta,DISP,sedang,Menikah
Karen Patton,(0867) 647 6559,"Gang Cihampelas No. 0
Makassar, BB 25182",7363318209079490,laki-laki,SMA,Tangerang,CBLT,kalem,Belum menikah
