debtor_nik,payment_history_1,payment_history_2,payment_history_3,payment_history_4,payment_history_5,payment_history_6,payment_history_7,payment_history_8,payment_history_9,payment_history_10,payment_history_11,payment_history_12,limit_ball,bill_amount,payment_amount,default_payment_next_month
5616899206564722,0,-1,0,-1,0,-1,0,0,0,-1,0,1,12667052,6059486,3845373,0
3672352966372101,0,0,-1,0,0,0,0,0,-1,0,1,1,13308627,5430302,4459033,1
6577501378053516,-1,-2,-2,-2,-1,-3,-2,-2,-2,-2,-2,-2,8035706,2127575,2750669,0
7561792872111463,-2,-1,-1,0,-1,-1,-2,-1,-1,-2,-1,-1,10513886,4096082,5188246,0
9507042982355754,0,-1,0,-1,0,-1,-1,0,0,0,-1,0,11972661,4608245,6633852,0
3688486775567408,-2,-1,-1,-1,0,-3,-2,-1,-1,-2,-2,-2,9332665,3322041,3781894,0
9414846140702010,0,0,0,0,0,-1,0,-1,1,1,-1,0,8052613,3832333,5668030,0
2558230963735470,-1,-1,-2,-1,-2,-1,0,0,-2,-2,-1,-1,9499405,4583045,4805377,0
2740800956250177,0,-2,-1,-1,0,-2,0,-1,-2,-1,-1,-1,10484941,3552898,3035134,0
9836539324816380,-2,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,14106562,6601296,4868364,1
2108533569261354,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,10314035,5255777,2710935,0
6406822545886700,1,1,0,1,2,1,1,0,2,0,0,0,11982773,6666857,6166433,1
9131252852958708,0,-2,-1,-2,-1,-2,-1,-1,-1,-2,-1,-1,9422059,4222468,2842969,0
9589683522896622,0,1,-1,0,-1,1,1,0,0,0,0,1,9670892,4451052,5941190,0
5920962992194698,0,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,10244756,6235773,4219784,1
7305213825992317,0,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,9815306,5221678,5001335,0
6122106765362891,-1,-1,-1,-1,-2,0,-1,0,-1,-2,-1,-1,7343166,5416713,4673442,0
3794879664738556,1,0,1,1,0,0,1,0,1,0,0,0,13807343,5794231,6472572,1
