debtor_age,debtor_age_class,debtor_gender,debtor_nik,debtor_address,debtor_province,debtor_island,debtor_marital_status,debtor_number_of_dependents,debtor_education_level,debtor_occupation,debtor_monthly_income,debtor_monthly_expense,debtor_asset_ownership,ses_class,demography_class,debtor_communication_channel,billing_datetime,risk_credit,payment_pattern,payment_method,tenor,interest_rate,monthly_payment,loan_amount,behavior_class,loan_type,working_time,range_working_time,debtor_personality,history_jan,history_feb,history_mar,history_apr,history_may,history_jun,history_jul,history_aug,history_sep,history_oct,history_nov,history_dec,debtor_aging,transaction,remaining_loan,billing_type,field_class
51,Tua,Perempuan,6246292105912540,"Gg. Antapani Lama, RT 18/RW 13, Kepulauan Bangka Belitung, Kode Pos: 72086",Bangka Belitung,Sumatera,Menikah,2,D3,Pegawai Negeri,6311964,1388632,Tidak,B,Rusun,Telepon,2023-10-08 02:53:24.240086,Baik,Pembayaran Tepat Waktu,Langsung,60,0.4,282896.85837986035,16802427,Disiplin,Pinjaman Pribadi,Malam-Pagi,20:00-08:00,Bijaksana,0,0,1,0,1,0,1,0,0,0,1,0,Lancar,60,0.0,Telepon,Melalui Meja
38,Dewasa,Perempuan,9515020606460174,"Jl. Kebonjati, RT 24/RW 11, Nusa Tenggara Timur, Kode Pos: 79455",Nusa Tenggara Timur,Bali,Belum Menikah,0,S3,Pengusaha,22157130,14623706,Ya,A,Apartemen,Email,2023-10-08 02:53:24.241130,Cukup Baik,Pembayaran Tepat Waktu,ATM,36,0.2,1390603.3788655403,49907690,Disiplin,Pinjaman Bisnis,Pagi-Sore,08:00-16:00,Ramah,0,1,0,0,0,0,0,1,0,1,2,1,DPK,35,1236571.7397060916,Telepon,Melalui Meja
36,Dewasa,Perempuan,6415412906897400,"Gg. Raya Ujungberung, RT 18/RW 13, Sulawesi Barat, Kode Pos: 56138",Sulawesi Barat,Sulawesi,Menikah,5,S1,Pegawai Negeri,7271368,799850,Tidak,B,Rusun,Email,2023-10-08 02:53:24.241655,Cukup Baik,Pembayaran Tepat Waktu,M-Banking,24,0.15,1959601.897060837,46957040,Disiplin,Pinjaman Bisnis,Siang-Malam,12:00-20:00,Bijaksana,0,0,0,0,0,1,0,0,0,1,2,1,DPK,23,1886196.367600754,Surat,Melalui Meja
47,Dewasa,Laki-laki,4476412212207776,"Gang H.J Maemunah, RT 2/RW 8, Sulawesi Tenggara, Kode Pos: 29249",Sulawesi Tenggara,Sulawesi,Belum Menikah,0,D3,Pegawai Swasta,8770858,5788766,Ya,E,Perumahan,SMS,2023-10-08 02:53:24.242114,Baik,Pembayaran Sebelum Jatuh Tempo,M-Banking,36,0.2,1418122.0492638033,50895314,Kabur,Pinjaman Bisnis,Pagi-Sore,08:00-16:00,Tegas,1,0,1,0,0,0,0,0,0,1,2,3,Kurang Lancar,33,4097286.3742944896,Wakil,Turun Langsung ke Lapangan
48,Dewasa,Perempuan,5690802602766521,"Gg. Yos Sudarso, RT 17/RW 12, Sulawesi Selatan, Kode Pos: 80318",Sulawesi Selatan,Sulawesi,Menikah,2,SMA,Buruh,1620427,356494,Tidak,D,Pemukiman Padat Penduduk,Chat WA,2023-10-08 02:53:24.242605,Cukup Baik,Pembayaran Tepat Waktu,ATM,24,0.15,1904344.6928012848,45632937,Disiplin,Pinjaman Bisnis,Siang-Malam,12:00-20:00,Tegas,1,2,3,2,3,2,1,2,1,0,0,1,DPK,23,1833009.0655704513,Surat,Melalui Meja
41,Dewasa,Laki-laki,1170101212963529,"Jalan Rajawali Barat, RT 11/RW 16, Nusa Tenggara Barat, Kode Pos: 97609",Nusa Tenggara Barat,Bali,Belum Menikah,0,S2,Pengusaha,26279773,17344650,Ya,A,Apartemen,Chat WA,2023-10-08 02:53:24.242997,Buruk,Pembayaran Terlambat,ATM,48,0.3,1079647.7934890054,51506996,Kabur,Pinjaman Bisnis,Malam-Pagi,20:00-08:00,Tegas,0,1,2,1,2,1,0,0,1,0,0,0,Lancar,48,0.0,Telepon,Melalui Meja
43,Dewasa,Laki-laki,9662430603427414,"Gg. H.J Maemunah, RT 17/RW 1, Bengkulu, Kode Pos: 93735",Bengkulu,Sumatera,Belum Menikah,0,SMP,Buruh,3587250,2367585,Ya,C,Pemukiman Padat Penduduk,Chat WA,2023-10-08 02:53:24.243449,Cukup Baik,Pembayaran Tepat Waktu,ATM,12,0.1,3135476.0559170335,37605340,Gagal Bayar,Kredit Kendaraan,Malam-Pagi,20:00-08:00,Ramah,0,0,1,2,3,4,5,6,7,6,5,6,Diragukan,6,18792483.6644978,Wakil,Turun Langsung ke Lapangan
45,Dewasa,Perempuan,9641320407840672,"Jl. Soekarno Hatta, RT 19/RW 19, Riau, Kode Pos: 39285",Riau,Sumatera,Menikah,0,S2,Professional,4861903,3208856,Ya,C,Rusun,Email,2023-10-08 02:53:24.243842,Buruk,Pembayaran Terlambat,ATM,12,0.1,4048656.002754158,48557566,Gagal Bayar,Pinjaman Bisnis,Siang-Malam,12:00-20:00,Bijaksana,0,1,0,0,1,2,3,4,5,4,5,6,Diragukan,6,24265629.98347505,Wakil,Turun Langsung ke Lapangan
23,Muda,Perempuan,5680231503561883,"Gang Waringin, RT 25/RW 1, Kalimantan Tengah, Kode Pos: 86326",Kalimantan Tengah,Kalimantan,Cerai Mati,5,SMA,Pegawai Swasta,413179,45450,Tidak,E,Pemukiman Padat Penduduk,Chat WA,2023-10-08 02:53:24.244215,Buruk,Pembayaran Terlambat,M-Banking,60,0.4,824442.6438804446,48967095,Kabur,Pinjaman Bisnis,Siang-Malam,12:00-20:00,Ramah,1,2,1,2,1,2,1,2,1,2,3,2,DPK,58,1149421.6549342126,Surat,Melalui Meja
37,Dewasa,Perempuan,5440300412951402,"Gg. Tebet Barat Dalam, RT 5/RW 7, Lampung, Kode Pos: 85370",Lampung,Sumatera,Menikah,2,SD,Buruh,2559964,563192,Tidak,D,Pemukiman Padat Penduduk,Telepon,2023-10-08 02:53:24.244652,Cukup Baik,Pembayaran Tepat Waktu,M-Banking,24,0.15,914736.4369400707,21919409,Disiplin,Pinjaman Pribadi,Malam-Pagi,20:00-08:00,Ramah,0,0,0,1,0,0,1,0,1,0,0,0,Lancar,24,0.0,Telepon,Melalui Meja
