collector_ID,collector_gender,collector_age,collector_age_class,collector_location,collector_province,collector_island,collector_monthly_income,collector_occupation,collector_marital_status,collector_ses,collector_education_level,collector_vehicle,collector_style,collector_workplace,negotiation_skills,proficient_technology_use,flexible_work,communication_channel,responsive_rate,collector_personality,communication_time,working_time,working_time_range,debtor_feedback,year_experience,experience_level,success_rate,handled_case_category,handled_case_count,negotiation_result,debtor_behavior,demography_class
u8739,Laki-laki,35,Muda,"Jalan Tubagus Ismail, RT 13/RW 3, Papua, Kode Pos: 47270",Papua,Papua,13743023,Professional,Menikah,A,S2,Mobil,Bijaksana,Lapangan,Cukup Baik,B,Kurang Fleksibel,SMS,67.5450194761961,Bijaksana,2023-05-06 13:31:44,Malam-Pagi,20:00-08:00,Baik,35,Sangat Berpengalaman,90,Pinjaman Pribadi,702,Keringanan utang,Kabur,Perumahan
p8858,Perempuan,59,Dewasa,"Gg. Jend. A. Yani, RT 25/RW 5, Sulawesi Utara, Kode Pos: 01545",Sulawesi Utara,Sulawesi,7301610,Pegawai Swasta,Belum Menikah,C,D3,Motor,Tegas,Meja,Buruk,Cukup Baik,Kurang Fleksibel,Telepon,73.00286060047075,Tegas,2023-06-03 10:16:25,Siang-Malam,12:00-20:00,Buruk,10,Cukup Berpengalaman,40,Kredit Kendaraan,196,Rencana pembayaran alternatif,Disiplin,Pemukiman Padat Penduduk
v5762,Perempuan,47,Muda,"Jl. Jakarta, RT 18/RW 13, Sulawesi Utara, Kode Pos: 11189",Sulawesi Utara,Sulawesi,6661857,Professional,Menikah,C,S2,Motor,Bijaksana,Meja,Baik,B,Fleksibel,SMS,82.98159302859173,Bijaksana,2023-06-16 06:24:12,Siang-Malam,12:00-20:00,Buruk,47,Sangat Berpengalaman,100,Pinjaman Pribadi,942,Perpanjangan waktu pembayaran,Kabur,Pemukiman Padat Penduduk
i5899,Laki-laki,38,Dewasa,"Jalan Monginsidi, RT 22/RW 19, Sumatera Selatan, Kode Pos: 32046",Sumatera Selatan,Sumatera,9241471,Professional,Menikah,B,S2,Motor,Bijaksana,Lapangan,Buruk,k,Fleksibel,Telepon,99.50090304847252,Bijaksana,2023-12-23 05:37:10,Siang-Malam,12:00-20:00,Cukup,19,Cukup Berpengalaman,48,Pinjaman Pribadi,379,Pembebasan jaminan atau denda,Kabur,Perumahan
o9338,Laki-laki,38,Dewasa,"Gang Abdul Muis, RT 7/RW 14, Bali, Kode Pos: 21599",Bali,Bali,5321003,Professional,Cerai Hidup,D,S1,Motor,Ramah,Lapangan,Baik,B,Tidak Fleksibel,Chat WA,58.8078769059835,Ramah,2023-05-11 16:22:24,Malam-Pagi,20:00-08:00,Buruk,-14,Cukup Berpengalaman,-8,Kredit Kendaraan,0,Keringanan utang,Disiplin,Pemukiman Padat Penduduk
Q3172,Laki-laki,47,Dewasa,"Gg. Pasteur, RT 8/RW 9, Maluku Utara, Kode Pos: 66177",Maluku Utara,Papua,4939642,Buruh,Belum Menikah,D,SMA,Motor,Kasar,Lapangan,Buruk,Buruk,Fleksibel,Chat WA,84.81139868584229,Kasar,2023-06-01 18:03:00,Siang-Malam,12:00-20:00,Cukup,-16,Pemula,-22,Pinjaman Pribadi,0,Perpanjangan waktu pembayaran,Disiplin,Rusun
O2311,Laki-laki,38,Muda,"Gang Abdul Muis, RT 4/RW 9, Kepulauan Bangka Belitung, Kode Pos: 02176",Bangka Belitung,Sumatera,7896707,Pegawai Negeri,Cerai Hidup,C,D3,Motor,Tegas,Lapangan,Cukup Baik,Cukup Baik,Tidak Fleksibel,Telepon,44.69413738225916,Tegas,2023-02-03 00:49:48,Pagi-Sore,08:00-16:00,Buruk,33,Sangat Berpengalaman,86,Pinjaman Pribadi,662,Keringanan utang,Kabur,Rusun
Q7542,Laki-laki,51,Dewasa,"Gang Erlangga, RT 22/RW 7, Kalimantan Selatan, Kode Pos: 58648",Kalimantan Selatan,Kalimantan,2210104,Pegawai Swasta,Cerai Hidup,E,D3,Tidak Ada Kendaraan,Tegas,Lapangan,Cukup Baik,Cukup Baik,Tidak Fleksibel,Telepon,58.826914031931096,Tegas,2023-11-19 17:53:47,Pagi-Sore,08:00-16:00,Buruk,18,Cukup Berpengalaman,46,Kredit Kendaraan,363,Perpanjangan waktu pembayaran,Kabur,Rusun
V5930,Perempuan,55,Muda,"Jl. Moch. Ramdan, RT 1/RW 2, Sulawesi Tengah, Kode Pos: 69139",Sulawesi Tengah,Sulawesi,907082,Buruh,Cerai Mati,E,SMA,Tidak Ada Kendaraan,Kasar,Meja,Baik,Cukup Baik,Fleksibel,Telepon,84.90285220118291,Kasar,2023-03-04 18:26:06,Malam-Pagi,20:00-08:00,Cukup,24,Sangat Berpengalaman,68,Pinjaman Bisnis,480,Keringanan utang,Kabur,Pemukiman Padat Penduduk
G2531,Laki-laki,37,Muda,"Jalan Yos Sudarso, RT 18/RW 5, Jambi, Kode Pos: 04962",Jambi,Sumatera,5573848,Pengusaha,Menikah,D,S1,Motor,Tegas,Lapangan,Cukup Baik,B,Fleksibel,Telepon,85.33234845214172,Tegas,2023-02-23 07:33:44,Malam-Pagi,20:00-08:00,Cukup,30,Sangat Berpengalaman,70,Pinjaman Pribadi,599,Pembebasan jaminan atau denda,Kabur,Perumahan
