debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,debtor_occupation,debtor_company,debtor_number,collection_day_type,best_collection_time,loan_amount,debtor_education_level,credit_score,aging,previous_collection_status,previous_payment_status,amount_of_late_days,tenure,best_collection_method,debtor_latitude,debtor_longitude
4133431716345918,Cemplunk Zulaika,perempuan,"Bengkulu, 23-09-1997",26,"Jalan Raya Setiabudhi No. 857
Banjarbaru, KR 12188",12188,6,10,Menikah,Pegawai Swasta,CV Nugroho Melani (Persero) Tbk,+62 (102) 776 3467,Akhir pekan,"pagi, sore, malam",124273796.25723162,S-2,663,Diragukan,Gagal,Terlambat,15,36,Field,-7.838359,108.271726
7873621118387801,"Clara Padmasari, M.Pd",laki-laki,"Jawa Tengah, 13-04-1964",59,"Jalan Cihampelas No. 4
Pekanbaru, Sulawesi Selatan 56126",56126,20,20,Menikah,Profesional,UD Hidayat,+62 (808) 299 5117,Hari kerja,"pagi, malam",54779789.37318893,S-1,644,Kurang Lancar,Berhasil,Terlambat,9,9,Telepon,-6.843065,108.306697
9937369990430445,"Puti Cinthia Oktaviani, S.IP",laki-laki,"Jawa Tengah, 01-09-1981",42,"Jl. Wonoayu No. 68
Semarang, Riau 98101",98101,2,15,Cerai mati,Pegawai Swasta,UD Simanjuntak Padmasari (Persero) Tbk,+62 (0582) 416 0892,Hari kerja,"pagi, malam",74999193.56,SD,497,Lancar,Berhasil,Terlambat,0,16,Telepon,-7.804156,111.29904
2071079715934185,"Lalita Astuti, M.TI.",laki-laki,"Aceh, 14-02-1987",36,"Gg. Sentot Alibasa No. 781
Pontianak, SU 76993",76993,19,16,Menikah,Pegawai Swasta,Perum Handayani Najmudin Tbk,+62 (737) 295-9765,Hari libur nasional/cuti bersama,"pagi, sore, malam",32214140.415610924,D-4,801,Kurang Lancar,Gagal,Terlambat,14,11,Field,-6.548671,108.933831
8852740896362143,Daliman Kusumo,laki-laki,"Gorontalo, 06-12-1998",25,"Jl. Ronggowarsito No. 0
Tanjungpinang, NB 06297",6297,1,1,Cerai hidup,Buruh,PD Hardiansyah (Persero) Tbk,+62 (0740) 390 0826,Akhir pekan,"pagi, malam",56737780.059506655,D-4,406,Lancar,Berhasil,Terlambat,0,10,Telepon,-6.304855,107.549994
7357561150554991,Hamima Yuliarti,perempuan,"Sulawesi Tengah, 22-03-1972",51,"Gg. Dipenogoro No. 2
Bogor, Kalimantan Timur 17655",17655,8,9,Cerai mati,Pegawai Negeri,PT Firmansyah (Persero) Tbk,+62 (094) 966 2841,Hari kerja,malam,35185586.62258203,S-3,405,Lancar,Berhasil,Tepat waktu,0,10,WhatsApp,-7.467631,110.558664
8053189640415342,Kiandra Hassanah,perempuan,"Sulawesi Tengah, 24-01-1971",52,"Jl. Rumah Sakit No. 52
Tomohon, Kalimantan Tengah 60416",60416,2,12,Cerai mati,Pengusaha,PD Prasasta,+62 (341) 825-3002,Hari kerja,"pagi, malam",44043920.23,SMP,480,Dalam Perhatian Khusus,Berhasil,Tepat waktu,0,17,WhatsApp,-6.007955,113.915931
9991549820336113,Jayadi Rajata,laki-laki,"Sumatera Utara, 08-12-1970",53,"Jl. Rungkut Industri No. 258
Bukittinggi, Maluku Utara 00178",178,7,12,Cerai mati,Profesional,CV Puspita,+62 (648) 648 2240,Hari kerja,"pagi, malam",42631985.58320684,S-2,688,Diragukan,Gagal,Terlambat,9,6,Field,-7.887375,108.679366
5895624548775186,Farhunnisa Prastuti,laki-laki,"Jawa Timur, 10-08-1975",48,"Jl. Indragiri No. 8
Binjai, RI 99838",99838,16,7,Cerai hidup,Pegawai Negeri,CV Pratama Tbk,+62 (009) 416-7199,Hari kerja,malam,44007600.77575755,SD,566,Lancar,Berhasil,Tepat waktu,0,16,WhatsApp,-6.060584,107.500849
9463374064016974,Janet Haryanti,laki-laki,"Maluku Utara, 19-05-1969",54,"Gg. Tubagus Ismail No. 81
Tual, Sulawesi Barat 59050",59050,15,10,Belum menikah,Pengusaha,UD Narpati Riyanti (Persero) Tbk,+62 (007) 412-7138,Akhir pekan,"pagi, sore, malam",60057097.31690992,S-3,411,Macet,Gagal,Terlambat,8,18,Field,-7.085441,106.545869
6903411025554080,Humaira Mandala,laki-laki,"Lampung, 08-02-1994",29,"Gang Rajiman No. 55
Pekalongan, YO 06619",6619,11,4,Cerai mati,Pengusaha,Perum Kuswoyo Tbk,-692,Hari kerja,"pagi, malam",19704897.676217265,S-3,578,Kurang Lancar,Gagal,Terlambat,17,3,Field,-6.057824,111.610695
6088367608152910,Natalia Padmasari,perempuan,"Banten, 22-09-1974",49,"Gg. Pasteur No. 9
Parepare, KB 05195",5195,6,16,Menikah,Buruh,PT Dabukke Aryani,-2473,Akhir pekan,"pagi, malam",69284934.06704976,S-3,649,Diragukan,Berhasil,Tepat waktu,23,14,Field,-6.076622,113.477431
1131668068547401,"Dt. Panji Sirait, S.Pd",perempuan,"Jawa Tengah, 09-08-1980",43,"Gang Sukabumi No. 05
Kupang, PB 02343",2343,6,15,Menikah,Profesional,PD Rahimah Sitorus (Persero) Tbk,-8775,Hari kerja,"pagi, malam",120049424.9129044,D-3,564,Kurang Lancar,Gagal,Terlambat,9,30,Field,-6.97285,106.052372
2174760896782585,Yance Wastuti,laki-laki,"Sumatera Selatan, 17-08-1979",44,"Gang H.J Maemunah No. 3
Kupang, KT 70037",70037,8,18,Belum menikah,Pengusaha,PT Maheswara,+62 (957) 550-8561,Hari kerja,"pagi, malam",127827340.51635014,SMP,403,Kurang Lancar,Berhasil,Tepat waktu,9,35,WhatsApp,-7.399183,107.332334
7778883712231175,Kacung Nasyidah,laki-laki,"Bali, 24-09-1978",45,"Gg. Otto Iskandardinata No. 490
Madiun, DKI Jakarta 76479",76479,3,3,Belum menikah,Pegawai Negeri,PD Hasanah Tbk,+62 (18) 322 3046,Hari kerja,malam,34897597.95942926,S-2,755,Macet,Gagal,Terlambat,1,14,Telepon,-6.941224,108.510187
