debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,debtor_occupation_group,debtor_company,debtor_number,debtor_occupation,collection_day_type,best_collection_time,loan_amount,debtor_education_level,credit_score,tenure,payment_history_12,payment_history_11,payment_history_10,payment_history_9,payment_history_8,payment_history_7,payment_history_6,payment_history_5,payment_history_4,payment_history_3,payment_history_2,payment_history_1,aging,previous_payment_status,previous_collection_method,best_collection_method,debtor_latitude,debtor_longitude
4133431716345918,Cemplunk Zulaika,perempuan,"Bengkulu, 23-09-1997",26,"Jalan Raya Setiabudhi No. 857
Banjarbaru, KR 12188",12188,6,10,Menikah,Pengusaha,CV Nugroho Melani (Persero) Tbk,+62 (102) 776 3467,PASTOR,Hari kerja,"pagi, malam",95583563,Tidak sekolah,490,18,0,0,1,2,3,0,0,1,2,3,0,1,Dalam Perhatian Khusus,Bermasalah,Telepon,Telepon,-7.167564,110.350008
7873621118387801,"Clara Padmasari, M.Pd",laki-laki,"Jawa Tengah, 13-04-1964",59,"Jalan Cihampelas No. 4
Pekanbaru, Sulawesi Selatan 56126",56126,20,20,Menikah,Pengusaha,UD Hidayat,+62 (808) 299 5117,PROMOTOR ACARA,Hari kerja,"pagi, malam",42449644,SD,472,16,0,0,0,0,1,2,3,4,5,6,7,8,Macet,Bermasalah,Field,Field,-7.438917,112.530407
9937369990430445,"Puti Cinthia Oktaviani, S.IP",laki-laki,"Jawa Tengah, 01-09-1981",42,"Jl. Wonoayu No. 68
Semarang, Riau 98101",98101,2,15,Cerai mati,Buruh,UD Simanjuntak Padmasari (Persero) Tbk,+62 (0582) 416 0892,BURUH PETERNAKAN,Hari kerja,malam,37304397,D-4,463,9,1,2,0,1,2,0,0,0,0,0,0,0,Dalam Perhatian Khusus,Lancar,WhatsApp,WhatsApp,-7.57235,108.634686
2071079715934185,"Lalita Astuti, M.TI.",laki-laki,"Aceh, 14-02-1987",36,"Gg. Sentot Alibasa No. 781
Pontianak, SU 76993",76993,19,16,Menikah,Pengusaha,Perum Handayani Najmudin Tbk,+62 (737) 295-9765,MENGURUS RUMAH TANGGA,Hari kerja,"pagi, malam",94505659,D-1,690,21,0,1,0,0,0,0,0,0,0,0,0,0,Dalam Perhatian Khusus,Lancar,WhatsApp,WhatsApp,-6.71695,112.2204
8852740896362143,Daliman Kusumo,laki-laki,"Gorontalo, 06-12-1998",25,"Jl. Ronggowarsito No. 0
Tanjungpinang, NB 06297",6297,1,1,Cerai hidup,Pegawai Swasta,PD Hardiansyah (Persero) Tbk,+62 (0740) 390 0826,KARYAWAN HONORER,Hari kerja,malam,63078776,D-3,681,18,0,0,0,1,0,0,0,0,0,1,0,1,Dalam Perhatian Khusus,Bermasalah,Telepon,Telepon,-6.898564,112.14466
7357561150554991,Hamima Yuliarti,perempuan,"Sulawesi Tengah, 22-03-1972",51,"Gg. Dipenogoro No. 2
Bogor, Kalimantan Timur 17655",17655,8,9,Cerai mati,Profesional,PT Firmansyah (Persero) Tbk,+62 (094) 966 2841,PETANI/PEKEBUN,Hari kerja,malam,132488678,SD,521,37,1,2,0,0,0,0,1,0,1,2,3,4,Kurang Lancar,Bermasalah,Field,Field,-6.999455,110.059763
8053189640415342,Kiandra Hassanah,perempuan,"Sulawesi Tengah, 24-01-1971",52,"Jl. Rumah Sakit No. 52
Tomohon, Kalimantan Tengah 60416",60416,2,12,Cerai mati,Pengusaha,PD Prasasta,+62 (341) 825-3002,WIRASWASTA,Hari libur nasional/cuti bersama,"pagi, sore, malam",100492353,S-2,708,30,0,0,0,0,0,1,0,0,0,0,0,0,Dalam Perhatian Khusus,Lancar,WhatsApp,WhatsApp,-6.579358,110.486982
9991549820336113,Jayadi Rajata,laki-laki,"Sumatera Utara, 08-12-1970",53,"Jl. Rungkut Industri No. 258
Bukittinggi, Maluku Utara 00178",178,7,12,Cerai mati,Pengusaha,CV Puspita,+62 (648) 648 2240,INDUSTRI,Hari kerja,"pagi, malam",128438114,SMP,492,35,1,2,3,4,5,6,7,8,9,10,11,12,Macet,Bermasalah,Field,Field,-6.817254,111.090274
5895624548775186,Farhunnisa Prastuti,laki-laki,"Jawa Timur, 10-08-1975",48,"Jl. Indragiri No. 8
Binjai, RI 99838",99838,16,7,Cerai hidup,Pegawai Negeri,CV Pratama Tbk,+62 (009) 416-7199,KEPALA DESA,Hari kerja,malam,111787116,S-2,527,29,0,1,2,3,4,5,0,1,2,3,0,0,Diragukan,Lancar,Telepon,Telepon,-6.008326,112.419057
9463374064016974,Janet Haryanti,laki-laki,"Maluku Utara, 19-05-1969",54,"Gg. Tubagus Ismail No. 81
Tual, Sulawesi Barat 59050",59050,15,10,Belum menikah,Profesional,UD Narpati Riyanti (Persero) Tbk,+62 (007) 412-7138,PELAUT,Hari kerja,malam,46482634,D-2,603,8,1,2,3,4,0,0,1,0,0,0,0,0,Kurang Lancar,Lancar,Telepon,Telepon,-7.173384,108.685982
6903411025554080,Humaira Mandala,laki-laki,"Lampung, 08-02-1994",29,"Gang Rajiman No. 55
Pekalongan, YO 06619",6619,11,4,Cerai mati,Pegawai Negeri,Perum Kuswoyo Tbk,+62-029-684-0041,PENSIUNAN,Akhir pekan,"pagi, sore, malam",101029041,D-3,499,27,1,2,3,4,5,6,7,0,1,2,3,4,Macet,Bermasalah,Field,Field,-6.302768,113.985115
6088367608152910,Natalia Padmasari,perempuan,"Banten, 22-09-1974",49,"Gg. Pasteur No. 9
Parepare, KB 05195",5195,6,16,Menikah,Buruh,PT Dabukke Aryani,+62-0592-583-1360,TUKANG BATU,Akhir pekan,"pagi, malam",80262463,SD,501,15,1,0,1,0,0,1,2,3,0,1,0,0,Dalam Perhatian Khusus,Lancar,Telepon,WhatsApp,-7.873175,106.218799
1131668068547401,"Dt. Panji Sirait, S.Pd",perempuan,"Jawa Tengah, 09-08-1980",43,"Gang Sukabumi No. 05
Kupang, PB 02343",2343,6,15,Menikah,Buruh,PD Rahimah Sitorus (Persero) Tbk,+62-54-812-7971,TUKANG CUKUR,Akhir pekan,"pagi, malam",57680118,S-3,493,17,0,1,0,1,0,0,0,1,0,0,1,0,Dalam Perhatian Khusus,Lancar,Telepon,WhatsApp,-7.425726,113.616471
2174760896782585,Yance Wastuti,laki-laki,"Sumatera Selatan, 17-08-1979",44,"Gang H.J Maemunah No. 3
Kupang, KT 70037",70037,8,18,Belum menikah,Pegawai Swasta,PT Maheswara,+62 (957) 550-8561,KARYAWAN HONORER,Akhir pekan,"pagi, sore, malam",1000000,D-4,635,3,1,0,0,0,0,0,0,0,0,0,0,0,Dalam Perhatian Khusus,Lancar,WhatsApp,WhatsApp,-6.335988,111.368608
7778883712231175,Kacung Nasyidah,laki-laki,"Bali, 24-09-1978",45,"Gg. Otto Iskandardinata No. 490
Madiun, DKI Jakarta 76479",76479,3,3,Belum menikah,Buruh,PD Hasanah Tbk,+62 (18) 322 3046,PEMBANTU RUMAH TANGGA,Akhir pekan,"pagi, malam",1000000,D-1,697,3,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Lancar,WhatsApp,WhatsApp,-6.339095,111.232036
6256715242912612,Cinta Saefullah,perempuan,"Sulawesi Tengah, 10-09-1987",36,"Jl. W.R. Supratman No. 345
Pekalongan, Jambi 89737",89737,20,19,Cerai mati,Pegawai Negeri,CV Irawan Halimah Tbk,+62 (32) 236 9435,KARYAWAN BUMN,Akhir pekan,"pagi, sore, malam",21608788,SMP,427,3,0,1,0,0,0,0,0,0,0,0,0,0,Dalam Perhatian Khusus,Lancar,WhatsApp,WhatsApp,-6.857588,108.578749
9330871446196917,"Gasti Gunawan, M.TI.",laki-laki,"Gorontalo, 27-11-1968",55,"Gang Kendalsari No. 3
Tanjungbalai, Nusa Tenggara Barat 03928",3928,4,10,Cerai hidup,Profesional,CV Thamrin (Persero) Tbk,+62 (398) 277-7625,APOTEKER,Hari kerja,malam,79514840,D-2,675,15,0,0,0,1,2,0,0,1,2,0,1,0,Dalam Perhatian Khusus,Lancar,Telepon,WhatsApp,-6.385799,112.628519
6199051285677998,"Puti Keisha Laksmiwati, M.M.",laki-laki,"DI Yogyakarta, 14-03-1964",59,"Jalan Gedebage Selatan No. 4
Banjar, KR 04570",4570,7,16,Cerai hidup,Pegawai Swasta,PD Maryadi Putra,+62 (035) 024 8342,KARYAWAN SWASTA,Hari kerja,malam,61331847,S-1,495,19,1,2,3,0,1,2,0,1,0,0,1,0,Dalam Perhatian Khusus,Lancar,Telepon,WhatsApp,-7.343141,110.052623
5914782805208768,R.M. Purwadi Sirait,laki-laki,"Sulawesi Tengah, 10-04-1979",44,"Jl. Tebet Barat Dalam No. 5
Tebingtinggi, Banten 94704",94704,5,6,Cerai hidup,Pegawai Negeri,UD Widodo Anggriawan Tbk,+62 (0161) 212 2798,KARYAWAN BUMD,Akhir pekan,"pagi, sore, malam",78488301,SMP,415,15,0,0,1,2,0,0,1,2,3,4,5,6,Diragukan,Bermasalah,Field,Field,-6.488087,107.23052
6964489007922506,Rachel Namaga,perempuan,"Jambi, 05-04-1995",28,"Jalan Lembong No. 226
Ternate, KU 24237",24237,13,9,Cerai mati,Pengusaha,UD Nurdiyanti Maheswara Tbk,+62 (929) 388-3632,USTADZ/MUBALIGH,Hari kerja,"pagi, malam",114375960,D-3,494,27,0,0,0,0,0,1,2,3,4,0,1,2,Kurang Lancar,Bermasalah,Field,Field,-6.624019,111.364876
4544910883476765,Vera Wibowo,perempuan,"Kalimantan Barat, 13-12-1966",57,"Jl. Otto Iskandardinata No. 281
Salatiga, Aceh 40335",40335,8,14,Cerai hidup,Profesional,Perum Marbun,+62 (006) 617 8123,PARANORMAL,Hari kerja,malam,146335313,SMA,411,36,0,1,0,0,0,0,1,2,3,4,0,1,Kurang Lancar,Bermasalah,Telepon,Field,-6.903381,113.635642
