debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,debtor_occupation,debtor_company,debtor_number,total_text,total_calls,total_visit,foreclosure,write_off,debtor_location,debtor_number_of_dependents,debtor_cars_count,debtor_motorcycle_count,debtor_house_count,debtor_education_level,monthly_income,debtor_personality,loan_amount,tenor,interest_rate,delay_history,credit_score,action_code,category_campaign,collector_name
4133431716345918,Cemplunk Zulaika,perempuan,"Bengkulu, 23-09-1997",26.0,"Jalan Raya Setiabudhi No. 857
Banjarbaru, KR 12188",12188,6.0,10.0,Menikah,Pengusaha,CV Nugroho Melani (Persero) Tbk,+62 (102) 776 3467,15.0,0.0,0.0,0.0,0.0,Padang,4.0,3.0,2.0,1.0,D3,726140843.0,sedang,6122428496.0,11.0,9.0,9.0,664.0,MUPD,Call,Joe Lowery
7873621118387801,"Clara Padmasari, M.Pd",laki-laki,"Jawa Tengah, 13-04-1964",59.0,"Jalan Cihampelas No. 4
Pekanbaru, Sulawesi Selatan 56126",56126,20.0,20.0,Menikah,Pengusaha,UD Hidayat,+62 (808) 299 5117,0.0,0.0,0.0,0.0,0.0,Medan,3.0,1.0,1.0,1.0,SMA,391811270.0,kalem,3425886356.0,9.0,9.0,10.0,473.0,OTHR,Digital,Stephanie Dennis
9937369990430445,"Puti Cinthia Oktaviani, S.IP",laki-laki,"Jawa Tengah, 01-09-1981",42.0,"Jl. Wonoayu No. 68
Semarang, Riau 98101",98101,2.0,15.0,Cerai mati,Buruh,UD Simanjuntak Padmasari (Persero) Tbk,+62 (0582) 416 0892,20.0,0.0,0.0,0.0,0.0,Jakarta,2.0,1.0,1.0,0.0,SMP,303830355.0,kalem,2668131560.0,6.0,8.0,7.0,465.0,OTHR,Digital,Jessica Choi
2071079715934185,"Lalita Astuti, M.TI.",laki-laki,"Aceh, 14-02-1987",36.0,"Gg. Sentot Alibasa No. 781
Pontianak, SU 76993",76993,19.0,16.0,Menikah,Pengusaha,Perum Handayani Najmudin Tbk,+62 (737) 295-9765,0.0,0.0,0.0,0.0,0.0,Bandung,3.0,2.0,2.0,1.0,SMA,593910018.0,kalem,4026650658.0,12.0,9.0,7.0,618.0,WRPH,Call,Joshua Lopez
8852740896362143,Daliman Kusumo,laki-laki,"Gorontalo, 06-12-1998",25.0,"Jl. Ronggowarsito No. 0
Tanjungpinang, NB 06297",6297,1.0,1.0,Cerai hidup,Pegawai Swasta,PD Hardiansyah (Persero) Tbk,+62 (0740) 390 0826,10.0,2.0,0.0,0.0,0.0,Samarinda,3.0,2.0,3.0,1.0,D3,544813330.0,kalem,6480957583.0,8.0,9.0,11.0,620.0,WRPH,Call,Jordan Sanders
7357561150554991,Hamima Yuliarti,perempuan,"Sulawesi Tengah, 22-03-1972",51.0,"Gg. Dipenogoro No. 2
Bogor, Kalimantan Timur 17655",17655,8.0,9.0,Cerai mati,Profesional,PT Firmansyah (Persero) Tbk,+62 (094) 966 2841,0.0,0.0,0.0,0.0,0.0,Surabaya,2.0,1.0,1.0,1.0,SMA,345108217.0,sedang,2727949428.0,10.0,9.0,6.0,543.0,DISP,Digital,Todd Lozano
8053189640415342,Kiandra Hassanah,perempuan,"Sulawesi Tengah, 24-01-1971",52.0,"Jl. Rumah Sakit No. 52
Tomohon, Kalimantan Tengah 60416",60416,2.0,12.0,Cerai mati,Pengusaha,PD Prasasta,+62 (341) 825-3002,10.0,10.0,4.0,0.0,0.0,Bandung,3.0,2.0,1.0,0.0,SMA,321751041.0,kalem,3490202800.0,8.0,8.0,5.0,521.0,DISP,Digital,Tara Osborne
9991549820336113,Jayadi Rajata,laki-laki,"Sumatera Utara, 08-12-1970",53.0,"Jl. Rungkut Industri No. 258
Bukittinggi, Maluku Utara 00178",178,7.0,12.0,Cerai mati,Pengusaha,CV Puspita,+62 (648) 648 2240,20.0,6.0,1.0,0.0,0.0,Medan,4.0,2.0,2.0,1.0,D3,557134549.0,kalem,5406903336.0,9.0,9.0,11.0,546.0,DISP,Call,Bradley Sheppard
5895624548775186,Farhunnisa Prastuti,laki-laki,"Jawa Timur, 10-08-1975",48.0,"Jl. Indragiri No. 8
Binjai, RI 99838",99838,16.0,7.0,Cerai hidup,Pegawai Negeri,CV Pratama Tbk,+62 (009) 416-7199,5.0,10.0,0.0,0.0,0.0,Malang,5.0,3.0,3.0,2.0,D3,639606666.0,sedang,7364607457.0,13.0,9.0,12.0,650.0,DISC,Call,Danielle Torres DDS
9463374064016974,Janet Haryanti,laki-laki,"Maluku Utara, 19-05-1969",54.0,"Gg. Tubagus Ismail No. 81
Tual, Sulawesi Barat 59050",59050,15.0,10.0,Belum menikah,Profesional,UD Narpati Riyanti (Persero) Tbk,+62 (007) 412-7138,0.0,8.0,3.0,1.0,1.0,Depok,2.0,2.0,2.0,1.0,SMA,523284889.0,kalem,5474880725.0,10.0,8.0,9.0,671.0,PTPR,Digital,Kimberly Warner
