debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,debtor_occupation,debtor_company,debtor_number,debtor_education_level,debtor_location,debtor_personality,total_text,total_calls,total_visit,foreclosure,write_off,delay_history,arrears_amounts,credit_score,debtor_number_of_dependents,debtor_cars_count,debtor_motorcycle_count,debtor_house_count,monthly_income,loan_amount,tenor,interest_rate,collector_name
4133431716345918,Cemplunk Zulaika,perempuan,"Bengkulu, 23-09-1997",26,"Jalan Raya Setiabudhi No. 857
Banjarbaru, KR 12188",12188,6,10,Menikah,Pengusaha,CV Nugroho Melani (Persero) Tbk,+62 (102) 776 3467,S1,Medan,kalem,4,0,0,0,0,16,1,423,3,2,2,2,335177854,4878693284.737401,9,9,Vincent Daniel
7873621118387801,"Clara Padmasari, M.Pd",laki-laki,"Jawa Tengah, 13-04-1964",59,"Jalan Cihampelas No. 4
Pekanbaru, Sulawesi Selatan 56126",56126,20,20,Menikah,Pengusaha,UD Hidayat,+62 (808) 299 5117,S1,Palembang,keras,1,0,0,0,0,4,4,821,4,2,2,1,570608677,5447942642.952469,11,8,Caleb Pierce
9937369990430445,"Puti Cinthia Oktaviani, S.IP",laki-laki,"Jawa Tengah, 01-09-1981",42,"Jl. Wonoayu No. 68
Semarang, Riau 98101",98101,2,15,Cerai mati,Buruh,UD Simanjuntak Padmasari (Persero) Tbk,+62 (0582) 416 0892,S1,Tangerang,sedang,5,0,0,0,0,13,2,506,3,2,1,1,557808004,5708999512.821118,8,9,William Rivera III
2071079715934185,"Lalita Astuti, M.TI.",laki-laki,"Aceh, 14-02-1987",36,"Gg. Sentot Alibasa No. 781
Pontianak, SU 76993",76993,19,16,Menikah,Pengusaha,Perum Handayani Najmudin Tbk,+62 (737) 295-9765,S3,Depok,sedang,1,0,0,0,0,18,0,351,1,1,1,0,398076888,3740439833.5336647,9,8,George Thomas
8852740896362143,Daliman Kusumo,laki-laki,"Gorontalo, 06-12-1998",25,"Jl. Ronggowarsito No. 0
Tanjungpinang, NB 06297",6297,1,1,Cerai hidup,Pegawai Swasta,PD Hardiansyah (Persero) Tbk,+62 (0740) 390 0826,SMP,Balikpapan,kalem,3,1,0,0,0,2,1,710,3,3,2,1,459619657,5195093841.821514,11,9,Hannah Bailey
7357561150554991,Hamima Yuliarti,perempuan,"Sulawesi Tengah, 22-03-1972",51,"Gg. Dipenogoro No. 2
Bogor, Kalimantan Timur 17655",17655,8,9,Cerai mati,Profesional,PT Firmansyah (Persero) Tbk,+62 (094) 966 2841,SMA,Medan,kalem,1,0,0,0,0,3,3,744,3,2,2,1,511358730,4751967165.903697,8,8,Vincent Daniel
8053189640415342,Kiandra Hassanah,perempuan,"Sulawesi Tengah, 24-01-1971",52,"Jl. Rumah Sakit No. 52
Tomohon, Kalimantan Tengah 60416",60416,2,12,Cerai mati,Pengusaha,PD Prasasta,+62 (341) 825-3002,S3,Makassar,sedang,3,5,4,0,0,14,0,532,2,2,2,1,392332133,3302243931.62091,6,8,Louis Porter
9991549820336113,Jayadi Rajata,laki-laki,"Sumatera Utara, 08-12-1970",53,"Jl. Rungkut Industri No. 258
Bukittinggi, Maluku Utara 00178",178,7,12,Cerai mati,Pengusaha,CV Puspita,+62 (648) 648 2240,S3,Semarang,kalem,5,3,1,0,0,2,2,806,4,3,2,1,509978122,6623804963.328674,12,9,David Riddle
5895624548775186,Farhunnisa Prastuti,laki-laki,"Jawa Timur, 10-08-1975",48,"Jl. Indragiri No. 8
Binjai, RI 99838",99838,16,7,Cerai hidup,Pegawai Negeri,CV Pratama Tbk,+62 (009) 416-7199,SD,Jakarta,sedang,2,5,0,0,0,2,1,791,3,2,1,1,348927158,5242736873.0668125,11,8,Sean Wilcox
9463374064016974,Janet Haryanti,laki-laki,"Maluku Utara, 19-05-1969",54,"Gg. Tubagus Ismail No. 81
Tual, Sulawesi Barat 59050",59050,15,10,Belum menikah,Profesional,UD Narpati Riyanti (Persero) Tbk,+62 (007) 412-7138,SMP,Depok,kalem,1,4,3,1,1,5,3,833,4,3,2,2,514216576,4476424113.601913,10,8,Kimberly Warner
6903411025554080,Humaira Mandala,laki-laki,"Lampung, 08-02-1994",29,"Gang Rajiman No. 55
Pekalongan, YO 06619",6619,11,4,Cerai mati,Pegawai Negeri,Perum Kuswoyo Tbk,+62-029-684-0041,D3,Tangerang,keras,2,0,0,0,0,18,3,360,3,2,2,1,444240973,6212779514.965173,9,8,Kelsey Brown
6088367608152910,Natalia Padmasari,perempuan,"Banten, 22-09-1974",49,"Gg. Pasteur No. 9
Parepare, KB 05195",5195,6,16,Menikah,Buruh,PT Dabukke Aryani,+62-0592-583-1360,SD,Bandung,keras,5,3,0,0,0,5,4,797,5,4,2,1,421786537,5523744758.70149,12,8,Eric Chan
1131668068547401,"Dt. Panji Sirait, S.Pd",perempuan,"Jawa Tengah, 09-08-1980",43,"Gang Sukabumi No. 05
Kupang, PB 02343",2343,6,15,Menikah,Buruh,PD Rahimah Sitorus (Persero) Tbk,+62-54-812-7971,SD,Padang,kalem,5,5,0,0,0,19,0,317,3,2,2,0,255056425,4281756568.411642,8,8,Steven Alvarado
2174760896782585,Yance Wastuti,laki-laki,"Sumatera Selatan, 17-08-1979",44,"Gang H.J Maemunah No. 3
Kupang, KT 70037",70037,8,18,Belum menikah,Pegawai Swasta,PT Maheswara,+62 (957) 550-8561,S2,Banjarmasin,sedang,5,4,0,0,0,1,1,744,3,3,2,1,424131974,4585773723.215619,11,9,Lauren Robertson
6256715242912612,Cinta Saefullah,perempuan,"Sulawesi Tengah, 10-09-1987",36,"Jl. W.R. Supratman No. 345
Pekalongan, Jambi 89737",89737,20,19,Cerai mati,Pegawai Negeri,CV Irawan Halimah Tbk,+62 (32) 236 9435,D3,Yogyakarta,kalem,3,3,2,0,0,0,0,790,1,2,1,0,270615597,2576114341.859466,5,8,Mrs. Gabriella Joyce
6199051285677998,"Puti Keisha Laksmiwati, M.M.",laki-laki,"DI Yogyakarta, 14-03-1964",59,"Jalan Gedebage Selatan No. 4
Banjar, KR 04570",4570,7,16,Cerai hidup,Pegawai Swasta,PD Maryadi Putra,+62 (035) 024 8342,SD,Jakarta,kalem,5,5,0,0,0,20,0,447,2,1,2,0,297486697,3212176001.1523147,5,8,Jessica Choi
5914782805208768,R.M. Purwadi Sirait,laki-laki,"Sulawesi Tengah, 10-04-1979",44,"Jl. Tebet Barat Dalam No. 5
Tebingtinggi, Banten 94704",94704,5,6,Cerai hidup,Pegawai Negeri,UD Widodo Anggriawan Tbk,+62 (0161) 212 2798,SMP,Samarinda,keras,5,0,0,0,0,3,3,834,3,2,2,1,507617571,5884952390.187228,11,9,Cynthia Smith
6964489007922506,Rachel Namaga,perempuan,"Jambi, 05-04-1995",28,"Jalan Lembong No. 226
Ternate, KU 24237",24237,13,9,Cerai mati,Pengusaha,UD Nurdiyanti Maheswara Tbk,+62 (929) 388-3632,S1,Medan,sedang,1,2,1,1,0,10,0,679,3,2,1,1,543769968,5017119069.654868,10,9,Gabrielle Ryan
4544910883476765,Vera Wibowo,perempuan,"Kalimantan Barat, 13-12-1966",57,"Jl. Otto Iskandardinata No. 281
Salatiga, Aceh 40335",40335,8,14,Cerai hidup,Profesional,Perum Marbun,+62 (006) 617 8123,S1,Jakarta,kalem,4,1,0,0,0,19,1,437,3,2,1,2,393990328,3952248891.8241353,9,8,Sean Strong
3694312965743031,Cakrawala Suwarno,laki-laki,"Jambi, 04-02-1964",59,"Jl. PHH. Mustofa No. 6
Bitung, DKI Jakarta 73692",73692,20,13,Belum menikah,Pengusaha,PT Kuswandari,+62 (0071) 566-5821,SD,Medan,keras,1,4,1,0,0,1,1,791,3,2,1,1,520552343,4406983439.713805,8,8,Matthew Sullivan
4402566562918858,Dina Iswahyudi,laki-laki,"Kepulauan Riau, 19-05-1976",47,"Jalan Dipatiukur No. 10
Tebingtinggi, MA 09462",9462,12,11,Cerai mati,Pegawai Swasta,PD Winarsih,+62 (028) 155-3876,S1,Jakarta,keras,1,2,0,0,0,17,4,340,2,2,1,0,288542572,3069209057.380281,8,8,Thomas Murray
6878407117047371,Hilda Hutapea,laki-laki,"Sumatera Selatan, 27-10-1979",44,"Jalan Moch. Toha No. 897
Mataram, JB 17381",17381,3,9,Belum menikah,Pegawai Negeri,PD Namaga Tbk,+62 (0969) 829-8285,SMA,Makassar,keras,5,1,5,0,0,11,1,496,3,2,2,1,299365842,5186125298.737445,8,8,Michelle Hill
6562727714088626,"Cut Nilam Simbolon, S.H.",perempuan,"Jawa Timur, 04-07-1969",54,"Gang Rajiman No. 723
Bukittinggi, Kalimantan Utara 96498",96498,17,20,Cerai mati,Buruh,PD Januar,+62 (031) 592 1352,SMA,Depok,sedang,4,0,0,0,0,9,1,595,4,2,2,1,514832351,5526522774.907303,10,8,Christine Boyd
9510597330048495,Galur Tarihoran,perempuan,"DKI Jakarta, 15-06-1988",35,"Jl. Rajawali Barat No. 6
Sukabumi, KU 21852",21852,6,2,Cerai hidup,Buruh,UD Ramadan Lestari Tbk,+62-087-038-9524,SMA,Malang,sedang,4,2,5,1,0,20,1,450,4,3,2,1,620306944,5126587933.603936,11,9,Sydney Nelson
8967634028499286,Eli Namaga,perempuan,"Gorontalo, 06-10-1984",39,"Jl. Joyoboyo No. 918
Tasikmalaya, SN 76602",76602,7,11,Menikah,Pengusaha,UD Permadi,+62 (05) 799-3277,S3,Depok,keras,2,2,1,0,0,8,3,640,4,2,1,1,533534163,5962289550.46426,11,8,Jason Vega
4089510382510588,"Respati Firmansyah, S.H.",perempuan,"Sumatera Utara, 07-10-1999",24,"Jalan Kiaracondong No. 0
Binjai, NT 59829",59829,17,17,Cerai mati,Pegawai Swasta,PT Januar (Persero) Tbk,+62 (0451) 139-5625,S1,Depok,kalem,2,3,0,0,0,8,0,631,1,1,1,0,123691503,2269280811.760359,3,8,Maria Jackson
9786358461078959,Kartika Wastuti,laki-laki,"Kalimantan Tengah, 29-03-1978",45,"Gang Rungkut Industri No. 496
Palangkaraya, KR 05216",5216,1,2,Cerai hidup,Profesional,Perum Anggriawan Sudiati Tbk,+62 (011) 016-4831,SMA,Bogor,kalem,5,3,2,0,0,1,0,833,5,3,2,1,614218646,6455063987.685797,13,9,Joshua Arias
7318881861725548,Kani Sinaga,laki-laki,"Nusa Tenggara Timur, 24-01-1983",40,"Gang Yos Sudarso No. 73
Metro, Sumatera Selatan 30516",30516,1,10,Cerai hidup,Profesional,PT Uyainah,+62 (0053) 365 9177,S2,Batam,keras,3,4,3,0,0,0,0,755,2,2,2,1,539310292,3817805731.718872,8,8,Erin Harris
5371897627377244,"Daliono Puspasari, S.T.",laki-laki,"Papua Barat, 28-11-1975",48,"Jl. Jayawijaya No. 35
Lubuklinggau, JI 53172",53172,15,15,Belum menikah,Pegawai Swasta,UD Megantara Habibi (Persero) Tbk,+62-17-143-5069,SD,Malang,keras,1,3,4,1,0,13,0,539,2,1,1,1,275317926,3741276997.658777,6,8,Joshua Little
8265551544072497,Ir. Gaman Gunawan,laki-laki,"Maluku Utara, 12-01-1968",55,"Jl. Jakarta No. 8
Dumai, KU 65373",65373,19,12,Cerai hidup,Profesional,PT Usamah,+62 (0889) 176-1435,SD,Bekasi,sedang,4,5,4,1,0,11,0,558,3,2,1,1,349445240,3445309145.0315847,8,8,Heather Velez
6454805292631898,Tgk. Amelia Hardiansyah,perempuan,"Banten, 01-01-1963",60,"Gang Dipatiukur No. 00
Tarakan, Papua Barat 18359",18359,5,19,Menikah,Profesional,UD Napitupulu Nasyiah Tbk,+62-0304-335-3495,S2,Medan,sedang,3,2,0,0,0,8,0,630,2,2,1,1,423836043,4533707181.738173,7,8,Brenda Campbell
9252897059366699,Kamila Marpaung,laki-laki,"Papua, 17-08-1973",50,"Gang Asia Afrika No. 825
Tanjungbalai, Sulawesi Barat 56465",56465,1,19,Belum menikah,Buruh,PT Prabowo Usamah Tbk,+62 (29) 141 5646,SD,Pekanbaru,keras,2,3,3,1,0,1,0,824,3,2,2,1,567680620,6231424960.754188,10,9,Alex Garcia
7519650775165435,Bahuraksa Rahimah,laki-laki,"Bengkulu, 05-02-1964",59,"Jalan Kutisari Selatan No. 29
Yogyakarta, Kalimantan Selatan 82560",82560,9,13,Cerai mati,Buruh,CV Rajata,+62 (100) 017 8416,SD,Bandung,sedang,5,0,0,0,0,4,4,810,3,2,1,1,514303232,5637993383.936659,11,9,Rachel Saunders
2436396704364731,"T. Damu Putra, S.Pt",perempuan,"Jawa Tengah, 08-10-1997",26,"Jl. Dipenogoro No. 481
Langsa, PA 13831",13831,17,8,Menikah,Buruh,PD Permata Puspasari,+62 (38) 007 1760,S2,Bogor,sedang,4,3,5,0,0,17,2,327,3,2,3,2,665649646,7289752447.752313,14,9,Samantha James
1578515700278651,"Dt. Bancar Laksita, S.I.Kom",perempuan,"Kalimantan Barat, 18-03-1977",46,"Gg. Pelajar Pejuang No. 13
Pematangsiantar, JK 90147",90147,16,15,Cerai hidup,Pengusaha,PT Pradana Budiyanto Tbk,+62-006-935-4969,S1,Bekasi,keras,2,2,0,0,0,1,0,729,3,2,1,1,467576604,3555601405.747271,7,8,Jill Clayton
5984348721186623,Salimah Tarihoran,perempuan,"Sulawesi Barat, 07-06-1991",32,"Gg. Ahmad Yani No. 75
Gorontalo, Bengkulu 78283",78283,17,8,Menikah,Pengusaha,CV Saputra Saragih,+62 (76) 205-9000,SMA,Tangerang,sedang,3,3,5,0,0,18,0,405,1,1,0,0,189116641,2463075751.0182714,3,8,Andrew Murray II
6512783522736873,"Jarwa Suartini, S.T.",laki-laki,"Kalimantan Tengah, 30-06-1989",34,"Gang Raya Ujungberung No. 734
Pagaralam, SB 60077",60077,20,6,Belum menikah,Pengusaha,PD Prastuti (Persero) Tbk,+62 (059) 485 1802,SMA,Medan,keras,1,3,1,0,0,14,2,502,2,2,2,1,591598691,4783510735.332568,9,9,Joseph Vasquez
2135101076052689,Kenari Uyainah,perempuan,"Sulawesi Tenggara, 22-09-1996",27,"Gg. HOS. Cokroaminoto No. 76
Malang, KB 05689",5689,13,12,Belum menikah,Pegawai Negeri,PT Sitorus (Persero) Tbk,+62 (0657) 955-7570,D3,Balikpapan,keras,3,0,0,0,0,9,4,687,4,3,2,1,611929055,5712141640.055821,10,9,Taylor Long
8335222605184011,Zalindra Mustofa,laki-laki,"Nusa Tenggara Barat, 01-06-1994",29,"Jl. Cikutra Timur No. 1
Blitar, PA 08164",8164,15,19,Cerai mati,Profesional,UD Rahimah,+62 (0364) 672 8454,S1,Pekanbaru,sedang,2,4,0,0,0,3,0,745,2,1,2,0,443633571,4926157929.949232,8,8,Richard Santiago
4268142379572947,dr. Jaga Santoso,perempuan,"Kalimantan Selatan, 10-08-1989",34,"Gang Laswi No. 549
Kota Administrasi Jakarta Pusat, Bengkulu 27778",27778,4,11,Cerai mati,Pegawai Swasta,Perum Hidayanto Prasetyo Tbk,+62 (476) 214-4218,S3,Samarinda,keras,3,2,3,0,0,20,4,409,3,2,2,1,456598540,5517311399.545253,8,9,Sean Harper
2123296655970932,"Lanang Habibi, S.Pd",perempuan,"Sulawesi Tenggara, 21-06-1965",58,"Gang Soekarno Hatta No. 461
Pariaman, NB 30138",30138,12,10,Belum menikah,Buruh,PT Pradana Nainggolan,+62 (0119) 232 3985,SD,Denpasar,keras,5,2,0,0,0,1,0,785,3,3,3,1,530531439,4756849788.997302,8,9,Rachel Smith
7078924966167884,"Garang Sitompul, S.I.Kom",perempuan,"Jambi, 03-05-1974",49,"Jalan Sukabumi No. 850
Yogyakarta, SU 40722",40722,8,1,Belum menikah,Profesional,Perum Habibi Tbk,+62 (0082) 058-6413,SMP,Palembang,kalem,4,1,0,0,0,5,2,757,2,2,1,1,317668388,3271343586.7595825,5,8,Billy Kaiser
4509297928410897,Among Sihotang,laki-laki,"Papua, 21-03-1962",61,"Gg. Stasiun Wonokromo No. 29
Tidore Kepulauan, DI Yogyakarta 08669",8669,11,12,Menikah,Profesional,CV Hastuti Waskita Tbk,+62 (098) 970 3865,D3,Malang,sedang,4,4,1,1,1,6,3,634,3,2,3,1,319349990,6149751595.77216,9,9,Christopher Washington
7219869693547743,"Hartana Suryono, S.Gz",perempuan,"Jambi, 06-09-1967",56,"Jl. Pelajar Pejuang No. 13
Sabang, SN 95603",95603,14,3,Menikah,Profesional,PD Pratama Halim,+62 (0191) 887-7959,SMP,Batam,sedang,3,1,4,1,1,4,4,839,4,4,2,2,607202387,5386194058.515042,12,9,Maxwell Martinez
1025618457483132,Kania Haryanti,perempuan,"DI Yogyakarta, 16-04-1992",31,"Jl. Ir. H. Djuanda No. 24
Lhokseumawe, SN 21935",21935,10,10,Cerai hidup,Pegawai Negeri,PT Sudiati Sudiati,+62 (065) 117-6097,S1,Semarang,kalem,4,1,4,0,0,12,3,495,4,3,3,2,660312162,7879323017.475824,14,9,Randall Hoffman
7975597010664374,"Joko Tampubolon, S.Psi",laki-laki,"Sulawesi Barat, 09-07-1988",35,"Gg. H.J Maemunah No. 35
Tanjungbalai, Lampung 92214",92214,11,8,Menikah,Buruh,UD Anggriawan (Persero) Tbk,+62 (66) 574-1944,S1,Balikpapan,keras,3,0,0,0,0,16,2,300,3,2,2,1,444709764,5565499889.119414,10,9,Ryan Perez
6385177509551766,Tina Suartini,perempuan,"Kalimantan Barat, 30-07-1969",54,"Jl. Monginsidi No. 9
Sungai Penuh, Riau 58925",58925,16,6,Menikah,Pegawai Swasta,PD Sitorus Simanjuntak,+62 (076) 067 9489,SMP,Depok,sedang,3,4,1,0,0,9,4,635,3,2,2,1,461692024,5112173892.068277,9,8,Ruth Perez
8603619197205843,Ir. Ida Wibisono,perempuan,"Kalimantan Tengah, 11-08-1997",26,"Jl. Pasir Koja No. 8
Ternate, Jawa Barat 53252",53252,17,15,Belum menikah,Pegawai Swasta,CV Suartini Pranowo Tbk,+62 (131) 807 9086,S1,Denpasar,kalem,5,3,2,0,0,18,2,331,4,3,2,2,560968924,6183668512.384111,12,9,Heather Guerra
5803095020482133,Soleh Mustofa,perempuan,"Aceh, 03-05-1980",43,"Gang Lembong No. 968
Balikpapan, GO 25444",25444,15,13,Cerai hidup,Pegawai Negeri,UD Halim Nuraini (Persero) Tbk,+62 (015) 858 1155,SD,Tangerang,keras,2,0,0,0,0,12,4,481,4,3,2,1,381742201,6423956604.164911,13,8,Angela Woods
7406189333273434,"Yessi Thamrin, S.E.",laki-laki,"Papua Barat, 17-06-1996",27,"Jl. Moch. Ramdan No. 69
Dumai, JA 13288",13288,6,11,Cerai mati,Pengusaha,CV Nashiruddin Manullang (Persero) Tbk,+62 (411) 086 3714,S2,Surabaya,keras,5,1,1,1,1,16,0,314,4,2,2,1,523969697,4819157706.176373,10,8,Debbie Parker
8316214771877804,Mustofa Palastri,laki-laki,"Kalimantan Utara, 05-03-1970",53,"Gg. Cihampelas No. 52
Langsa, NT 54833",54833,11,7,Menikah,Pegawai Swasta,UD Pratiwi Pradipta,+62 (80) 325 8840,S2,Bekasi,kalem,1,5,2,0,0,11,0,504,2,1,1,0,319232413,3081650443.0996146,5,8,Paul Carroll
5037049423786824,"Hilda Widiastuti, S.Pt",perempuan,"Kepulauan Bangka Belitung, 17-11-1992",31,"Gg. Indragiri No. 133
Kota Administrasi Jakarta Barat, Papua Barat 97413",97413,13,12,Belum menikah,Pengusaha,CV Melani Purnawati,+62-13-479-0986,S3,Padang,kalem,1,5,5,0,0,6,4,688,3,3,2,1,484885265,5625313944.87023,11,9,Steven Alvarado
7984818919556660,Ibrahim Firmansyah,laki-laki,"Jawa Timur, 08-06-1994",29,"Jalan Jayawijaya No. 16
Prabumulih, Maluku Utara 75263",75263,17,7,Belum menikah,Buruh,Perum Padmasari Saputra,+62-29-670-2515,SD,Bekasi,keras,1,1,1,0,0,11,0,568,3,2,1,1,357798378,3367941631.9706182,8,8,Heather Velez
6350331674136334,Sabrina Zulaika,perempuan,"Gorontalo, 19-09-1966",57,"Gang R.E Martadinata No. 8
Pariaman, Papua 91291",91291,6,17,Cerai hidup,Pengusaha,CV Purnawati,+62 (02) 785-1261,D3,Bogor,keras,4,3,5,0,0,9,2,606,1,2,0,1,193951828,2196321114.461722,7,8,Paul Jimenez
