collector_nik,collector_name,collector_birth_place,collector_age,collector_gender,collector_education_level,collector_address,collector_latitude,collector_longitude,collector_zip,collector_rt,collector_rw,collector_workday,collector_worktime
8408042025800377,Sean Strong,"Kepulauan Bangka Belitung, 29-05-1978",45,laki-laki,S1,"Dradah Blumbang, Lamongan, Jawa Timur, Indonesia",-7.21086702,112.1886194,48385,1,2,Senin-Jumat,Pagi-Siang
7572771410780058,Heather Velez,"Sumatera Selatan, 17-05-1991",32,perempuan,S1,"Mergolangu, Wonosobo, Jawa Tengah, Jawa, Indonesia",-7.528014234,109.8725687,92453,15,11,Senin-Jumat,Pagi-Sore
2756328606045296,Andrew Murray II,"Sumatera Utara, 22-04-1961",62,laki-laki,S1,"Jawa Tengah, Jawa, Indonesia",-6.509525832,110.2987705,13784,6,9,Senin-Jumat,Sore-Malam
1902234843110441,Dr. Lee Torres,"Sulawesi Selatan, 20-06-1968",55,perempuan,SMA,"Jawa Barat, Jawa, Indonesia",-7.478032708,106.1872681,37123,19,3,Senin-Jumat,Pagi-Siang
5968351900599433,Sierra Richards,"Banten, 21-05-1970",53,perempuan,S1,"Jalan Lingkar Luar Pati, Sokokulon, Pati, Jawa Tengah, Jawa, 59163, Indonesia",-6.787133541,111.0295265,91406,7,10,Senin-Jumat,Pagi-Sore
9.27788E+15,Gary Robinson,"Kepulauan Riau, 22-03-1990",33,laki-laki,S1,"Bendorejo, Gesi, Sragen, Jawa Tengah, Jawa, Indonesia",-7.339920761,111.0099032,92428,19,18,Senin-Jumat,Pagi-Siang
5813440784457174,Daniel Berry,"Sulawesi Barat, 13-03-1989",34,perempuan,D4,"Plosorejo, Blora, Jawa Tengah, Jawa, Indonesia",-7.19281971,111.3494066,3669,1,16,Senin-Jumat,Sore-Malam
9140410279724439,Randall Hoffman,"Sumatera Selatan, 24-01-1985",38,laki-laki,S1,"Sidorejo, Madiun, Jawa Timur, Jawa, 63172, Indonesia",-7.672758032,111.5569118,31176,7,7,Senin-Jumat,Siang-Malam
4362458815662651,Debbie Parker,"Maluku, 06-04-1969",54,perempuan,S1,"Maribaya, Purbalingga, Jawa Tengah, Jawa, 53354, Indonesia",-7.269576939,109.4054379,51774,18,17,Senin-Jumat,Siang-Malam
9527775263736489,Samantha James,"DKI Jakarta, 24-11-1980",43,laki-laki,S1,"Sokawera, Banyumas, Jawa Tengah, Jawa, 53192, Indonesia",-7.521898898,109.3154086,22515,3,19,Senin-Jumat,Sore-Malam
4.87331E+15,Lauren Robertson,"Sumatera Selatan, 06-10-1977",46,perempuan,S1,"Jawa Tengah, Jawa, Indonesia",-6.478851136,110.0503087,90451,11,8,Senin-Jumat,Siang-Malam
9515749388731529,Tara Osborne,"Nusa Tenggara Barat, 07-04-1989",34,laki-laki,D4,"Jawa Timur, Jawa, Indonesia",-7.841909009,111.8290469,18385,2,17,Senin-Minggu,Pagi-Siang
4497655576463881,Sean Harper,"Maluku Utara, 06-01-1991",32,laki-laki,S1,"Jawa Barat, Jawa, Indonesia",-7.560697707,107.0595153,31963,8,12,Senin-Jumat,Sore-Malam
7609554517420423,Kristina Avila,"Jawa Tengah, 14-07-1975",48,laki-laki,S1,"Sidomulyo, Magetan, Jawa Timur, Jawa, Indonesia",-7.644611158,111.2501482,10237,17,11,Senin-Jumat,Sore-Malam
4434678041952282,Carmen Stuart DDS,"Banten, 06-09-1965",58,laki-laki,S1,"Kondangjaya, Pandeglang, Banten, 42262, Indonesia",-6.434602725,105.9140628,4783,2,15,Senin-Jumat,Pagi-Sore
7348958406633665,Dawn Collins,"Jawa Barat, 25-08-1964",59,perempuan,SMA,"Karangjati, Cilacap, Jawa Tengah, Jawa, 53273, Indonesia",-7.583349955,109.2318039,21380,20,8,Senin-Jumat,Pagi-Sore
6124317478288829,Erin Harris,"Papua, 29-09-1988",35,perempuan,S3,"Jenar, Sragen, Jawa Tengah, Jawa, Indonesia",-7.352169921,111.1349641,80804,9,6,Senin-Jumat,Siang-Malam
1944864634772253,Kevin Rice,"Papua Barat, 27-07-1968",55,perempuan,S1,"Rancakasumba, Bandung, Jawa Barat, 40382, Indonesia",-7.01493185,107.7217834,36299,15,7,Senin-Minggu,Pagi-Siang
5747609608908235,Charles Ferrell,"Papua Barat, 26-04-1971",52,perempuan,SMA,"Giyanti, Blora, Jawa Tengah, Jawa, Indonesia",-7.044905191,111.608556,1643,2,3,Senin-Jumat,Siang-Malam
2296561854449155,David Olsen,"Maluku Utara, 24-01-1989",34,laki-laki,S1,"Mliriprowo, Tarik, Sidoarjo, Jawa Timur, 61316, Indonesia",-7.455418368,112.4902635,66080,11,11,Senin-Minggu,Sore-Malam
9.11008E+15,Sheri Clarke,"Nusa Tenggara Timur, 23-02-1993",30,perempuan,S2,"Rendeng, Rembang, Jawa Tengah, Jawa, Indonesia",-6.820909049,111.5217727,84710,12,6,Senin-Jumat,Siang-Malam
8082259590871495,Andre Hawkins,"Kepulauan Bangka Belitung, 29-03-1973",50,perempuan,SMA,"Cianjur, Jawa Barat, 43265, Indonesia",-7.050168423,106.9596069,40605,1,3,Senin-Jumat,Pagi-Siang
