debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_education_level,debtor_address,debtor_latitude,debtor_longitude,debtor_zip,debtor_rt,debtor_rw,employment_status,debtor_working_day,debtor_working_time,tenor,best_time_to_bill
4.13343E+15,Cemplunk Zulaika,perempuan,"Bengkulu, 23-09-1997",26,S2,"Jalan Brigadir Jenderal Slamet Riyadi, Kauman, Surakarta, Kecamatan Pasar Kliwon, Jawa Tengah, Jawa, 57133, Indonesia",-7.571109652,110.8258819,12188,6,10,Employed,Senin-Jumat,Siang-Malam,288,Pagi
7.87362E+15,"Clara Padmasari, M.Pd",laki-laki,"Jawa Tengah, 13-04-1964",59,SD,"Simbatan, Lamongan, Jawa Timur, 62211, Indonesia",-7.162565476,112.4354959,56126,20,20,Full-time,Senin-Jumat,Siang-Malam,23,Pagi
9.93737E+15,"Puti Cinthia Oktaviani, S.IP",laki-laki,"Jawa Tengah, 01-09-1981",42,SMA,"Jatiragas, Jawa Barat, Indonesia",-6.352626811,107.5696533,98101,2,15,Full-time,Senin-Jumat,Sore-Malam,341,Pagi
2.07108E+15,"Lalita Astuti, M.TI.",laki-laki,"Aceh, 14-02-1987",36,SMA,"Tengger, Bandungharjo, Jepara, Jawa Tengah, Jawa, 59454, Indonesia",-6.451495007,110.8754468,76993,19,16,Full-time,Senin-Jumat,Pagi-Sore,282,Malam
8.85274E+15,Daliman Kusumo,laki-laki,"Gorontalo, 06-12-1998",25,S1,"Sukamaju, Lebak, Banten, Indonesia",-6.687387662,106.3879308,6297,1,1,Employed,Senin-Jumat,Siang-Sore,79,Pagi
7.35756E+15,Hamima Yuliarti,perempuan,"Sulawesi Tengah, 22-03-1972",51,S1,"Sumedang, Jawa Barat, 45365, Indonesia",-6.893695241,107.8428742,17655,8,9,Part-time,Senin-Jumat,Malam-Pagi,346,Siang
8.05319E+15,Kiandra Hassanah,perempuan,"Sulawesi Tengah, 24-01-1971",52,SMP,"Adipala, Cilacap, Jawa Tengah, Jawa, 53271, Indonesia",-7.720249842,109.127576,60416,2,12,Employed,Senin-Minggu,Pagi-Sore,42,Malam
9.99155E+15,Jayadi Rajata,laki-laki,"Sumatera Utara, 08-12-1970",53,SD,"Garut, Jawa Barat, Indonesia",-7.318462444,107.5197195,178,7,12,Full-time,Senin-Jumat,Pagi-Sore,11,Malam
5.89562E+15,Farhunnisa Prastuti,laki-laki,"Jawa Timur, 10-08-1975",48,S2,"Rejosari, Madiun, Jawa Timur, 63173, Indonesia",-7.733562722,111.4961934,99838,16,7,Employed,Senin-Jumat,Siang-Malam,107,Pagi
9.46337E+15,Janet Haryanti,laki-laki,"Maluku Utara, 19-05-1969",54,SMP,"Jalan Lanud Sukani, Jatisura, Majalengka, Jawa Barat, 45454, Indonesia",-6.698252703,108.256395,59050,15,10,Part-time,Senin-Jumat,Siang-Sore,51,Pagi
