collector_name,collector_address,collector_number,collector_nik,collector_zip,collector_rt,collector_rw,collector_birth_place,collector_age,collector_marital_status,collector_gender,collector_location,collector_vehicle,collector_id,collector_location_coord,workload_score
Sean Strong,"Gang Indragiri No. 194
Tebingtinggi, NT 48385",+62 (575) 348-4217,8408042025800377,48385,1,2,"Kepulauan Bangka Belitung, 29-05-1978",45,Menikah,laki-laki,Pontianak,Punya,C0001,-0.0226903:109.3447488,695.2952561465208
Heather Velez,"Gg. Cikutra Timur No. 558
Banjar, BE 92453",+62-0235-141-1521,7572771410780058,92453,15,11,"Sumatera Selatan, 17-05-1991",32,Cerai mati,perempuan,Bekasi,Tidak Punya,C0002,-6.2349858:106.9945444,836.6627446756756
Andrew Murray II,"Jalan Medokan Ayu No. 862
Surakarta, Kepulauan Riau 13784",+62 (038) 501 4020,2756328606045296,13784,6,9,"Sumatera Utara, 22-04-1961",62,Cerai hidup,laki-laki,Bogor,Punya,C0003,-6.5962986:106.7972421,633.704825589637
Dr. Lee Torres,"Jalan Kapten Muslihat No. 78
Batam, Nusa Tenggara Barat 37123",+62 (0882) 879 3302,1902234843110441,37123,19,3,"Sulawesi Selatan, 20-06-1968",55,Cerai mati,perempuan,Malang,Punya,C0004,-7.9771206:112.6340291,586.7750316142628
Sierra Richards,"Jl. Ciwastra No. 8
Tarakan, Jawa Timur 91406",+62 (031) 513 8460,5968351900599433,91406,7,10,"Banten, 21-05-1970",53,Menikah,perempuan,Bekasi,Punya,C0005,-6.2349858:106.9945444,194.25352239914355
Gary Robinson,"Jl. Jamika No. 43
Sungai Penuh, SU 92428",+62 (911) 074 3154,9277884747995890,92428,19,18,"Kepulauan Riau, 22-03-1990",33,Belum menikah,laki-laki,Pontianak,Tidak Punya,C0006,-0.0226903:109.3447488,311.61237719788915
Daniel Berry,"Gang Raya Setiabudhi No. 0
Bengkulu, Kalimantan Selatan 03669",+62-091-476-5602,5813440784457174,3669,1,16,"Sulawesi Barat, 13-03-1989",34,Cerai hidup,perempuan,Palembang,Punya,C0007,-2.9888243:104.7568507,307.7978826446051
Randall Hoffman,"Gang Rawamangun No. 6
Solok, YO 31176",+62 (32) 577 3721,9140410279724439,31176,7,7,"Sumatera Selatan, 24-01-1985",38,Belum menikah,laki-laki,Pontianak,Punya,C0008,-0.0226903:109.3447488,593.6101975518977
Debbie Parker,"Jalan Surapati No. 08
Yogyakarta, AC 51774",+62 (862) 738 5433,4362458815662651,51774,18,17,"Maluku, 06-04-1969",54,Menikah,perempuan,Medan,Punya,C0009,3.5896654:98.6738261,876.8542312433128
Samantha James,"Jl. Pelajar Pejuang No. 436
Banjarmasin, KI 22515",+62-0301-472-0959,9527775263736489,22515,3,19,"DKI Jakarta, 24-11-1980",43,Cerai hidup,laki-laki,Bogor,Punya,C0010,-6.5962986:106.7972421,447.7331576461147
Lauren Robertson,"Gg. Wonoayu No. 367
Tidore Kepulauan, Kepulauan Bangka Belitung 90451",+62 (083) 179 3664,4873305308701310,90451,11,8,"Sumatera Selatan, 06-10-1977",46,Menikah,perempuan,Manado,Punya,C0011,1.4900578:124.8408708,338.9828782846744
Tara Osborne,"Jl. Ronggowarsito No. 6
Kota Administrasi Jakarta Pusat, Riau 18385",+62 (095) 338-4299,9515749388731529,18385,2,17,"Nusa Tenggara Barat, 07-04-1989",34,Menikah,laki-laki,Bandung,Punya,C0012,-6.9215529:107.6110212,258.90917841449846
Sean Harper,"Gg. Sukabumi No. 14
Bitung, Kalimantan Utara 31963",+62-0268-327-9640,4497655576463881,31963,8,12,"Maluku Utara, 06-01-1991",32,Menikah,laki-laki,Balikpapan,Punya,C0013,-1.2398711:116.8593379,546.3659708857303
Kristina Avila,"Jl. Pelajar Pejuang No. 442
Tangerang, SN 10237",+62 (102) 032-1805,7609554517420423,10237,17,11,"Jawa Tengah, 14-07-1975",48,Menikah,laki-laki,Surabaya,Punya,C0014,-7.2459717:112.7378266,637.1639654019964
Carmen Stuart DDS,"Jalan Peta No. 775
Pariaman, JT 04783",+62 (93) 718-6272,4434678041952282,4783,2,15,"Banten, 06-09-1965",58,Cerai hidup,laki-laki,Batam,Tidak Punya,C0015,1.1030815:104.0383696,424.5431317134353
Dawn Collins,"Jalan Soekarno Hatta No. 653
Probolinggo, BA 21380",+62 (462) 174 1234,7348958406633665,21380,20,8,"Jawa Barat, 25-08-1964",59,Belum menikah,perempuan,Yogyakarta,Punya,C0016,-7.9778383999999996:110.36722565020224,807.9614749142493
Erin Harris,"Gg. Pasir Koja No. 0
Lubuklinggau, PB 80804",+62 (51) 004 9421,6124317478288829,80804,9,6,"Papua, 29-09-1988",35,Cerai mati,perempuan,Balikpapan,Tidak Punya,C0017,-1.2398711:116.8593379,516.372559970041
Kevin Rice,"Gg. Cihampelas No. 2
Sungai Penuh, Maluku Utara 36299",+62 (05) 646 4108,1944864634772253,36299,15,7,"Papua Barat, 27-07-1968",55,Cerai mati,perempuan,Pontianak,Punya,C0018,-0.0226903:109.3447488,405.9782325879787
Charles Ferrell,"Gg. Abdul Muis No. 787
Pangkalpinang, BA 01643",+62 (0477) 418-9470,5747609608908235,1643,2,3,"Papua Barat, 26-04-1971",52,Menikah,perempuan,Depok,Punya,C0019,-6.40719:106.8158371,393.9120542143937
David Olsen,"Jl. Medokan Ayu No. 5
Pekanbaru, KR 66080",+62-776-290-3934,2296561854449155,66080,11,11,"Maluku Utara, 24-01-1989",34,Menikah,laki-laki,Pontianak,Punya,C0020,-0.0226903:109.3447488,554.669737612654
Sheri Clarke,"Jl. Veteran No. 5
Payakumbuh, Kepulauan Bangka Belitung 84710",+62 (976) 425-7687,9110078008505540,84710,12,6,"Nusa Tenggara Timur, 23-02-1993",30,Cerai mati,perempuan,Samarinda,Punya,C0021,-0.5017804:117.1393089,426.61997743532993
Andre Hawkins,"Gang Yos Sudarso No. 12
Padang, SU 40605",+62 (779) 009-5337,8082259590871495,40605,1,3,"Kepulauan Bangka Belitung, 29-03-1973",50,Cerai mati,perempuan,Tangerang,Punya,C0022,-6.1761924:106.6382161,303.6698058008624
