debtor_name,debtor_gender,debtor_age,debtor_marital_status,number_of_number_of_dependents,debtor_education_level,employment_year,monthly_income,monthly_expenses,asset_value,down_payment_percentage,paid_down_payment,loan_amount,interest_rate,tenor,monthly_payment,loan_income_expenses_ratio,total_capital,clasify_total_capital,ses,default_risk,loan_purpose,default_score,default_potential,recommendation
Tgk. Lili Handayani,perempuan,56,Sudah menikah,3,S2,1,19000000,5900000,730000000.0,0.2,600000,2400000,6,72,39775,0.3,459200000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,100,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 39775 dan bunga pertahun sebesar 6%."
Olivia Aryani,laki-laki,43,Belum menikah,0,S1,5,22000000,4700000,400000000.0,0.3,240000000,560000000,7,120,6502075,37.58,516600000.0,Sangat Kuat,Tinggi,Netral,kredit properti,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 560000000 dengan cicilan per bulan sebesar 6502075 dan bunga pertahun sebesar 7%."
Ulya Maryadi,laki-laki,32,Sudah menikah,3,D3,6,10500000,3600000,100000000.0,0.2,60000000,240000000,11,48,6202925,89.9,224800000.0,Cukup,Menengah,Sangat Beresiko,kredit kendaraan bermotor,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 240000000 dengan cicilan per bulan sebesar 6202925 dan bunga pertahun sebesar 11%."
Ihsan Putra,laki-laki,33,Cerai Mati,2,S2,3,16500000,9900000,200000000.0,0.15,450000,2550000,8,72,44710,0.68,300200000.0,Kuat,Menengah,Sangat Baik,kredit usaha,250,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2550000 dengan cicilan per bulan sebesar 44710 dan bunga pertahun sebesar 8%."
Maman Rajasa,perempuan,28,Belum menikah,0,D4,0,11000000,3700000,120000000.0,0.15,450000,2550000,4,72,39895,0.55,231600000.0,Cukup,Menengah,Sangat Baik,kredit usaha,500,Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2550000 dengan cicilan per bulan sebesar 39895 dan bunga pertahun sebesar 4%."
R. Ina Zulkarnain,perempuan,60,Belum menikah,0,S1,2,6000000,2400000,710000000.0,0.15,52500000,297500000,5,72,4791217,133.09,188200000.0,Cukup,Sangat Tinggi,Sangat Beresiko,kredit usaha,1600,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 297500000 dengan cicilan per bulan sebesar 4791217 dan bunga pertahun sebesar 5%."
Raisa Thamrin,perempuan,24,Belum menikah,0,D4,0,8000000,4400000,510000000.0,0.3,150000000,350000000,8,120,4246466,117.96,190200000.0,Cukup,Sangat Tinggi,Sangat Beresiko,kredit properti,2050,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 350000000 dengan cicilan per bulan sebesar 4246466 dan bunga pertahun sebesar 8%."
Sutan Kairav Mayasari,laki-laki,25,Belum menikah,0,S1,1,16000000,4600000,560000000.0,0.2,600000,2400000,5,72,38652,0.34,385800000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,100,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2400000 dengan cicilan per bulan sebesar 38652 dan bunga pertahun sebesar 5%."
"Najam Irawan, S.Gz",perempuan,39,Sudah menikah,3,S3,6,38000000,18400000,480000000.0,0.2,100000000,400000000,9,72,7210215,36.79,745200000.0,Sangat Kuat,Tinggi,Netral,kredit kendaraan bermotor,900,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 400000000 dengan cicilan per bulan sebesar 7210215 dan bunga pertahun sebesar 9%."
Banawi Nuraini,laki-laki,43,Belum menikah,0,S1,5,23500000,6100000,440000000.0,0.3,240000000,560000000,9,120,7093843,40.77,539800000.0,Sangat Kuat,Tinggi,Beresiko,kredit properti,1150,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 560000000 dengan cicilan per bulan sebesar 7093843 dan bunga pertahun sebesar 9%."
Hj. Zaenab Agustina,perempuan,49,Belum menikah,0,S1,3,16000000,8200000,300000000.0,0.15,450000,2550000,7,72,43475,0.56,318600000.0,Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 2550000 dengan cicilan per bulan sebesar 43475 dan bunga pertahun sebesar 7%."
