debtor_name,debtor_gender,debtor_age,debtor_marital_status,number_of_number_of_dependents,debtor_education_level,employment_year,monthly_income,monthly_expenses,asset_value,down_payment_percentage,paid_down_payment,loan_amount,interest_rate,tenor,monthly_payment,loan_income_expenses_ratio,total_capital,clasify_total_capital,ses,default_risk,loan_purpose,default_score,default_potential,recommendation
Gambira Siregar,perempuan,48,Belum menikah,0,S2,5,22500000,6100000,720000000.0,0.15,450000,2550000,5,72,41067.58,0.25,543800000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 5% dengan cicilan selama 72 bulan"
Cut Genta Pradana,perempuan,40,Belum menikah,0,S2,5,26500000,11600000,700000000.0,0.15,450000,2550000,6,72,42260.86,0.28,571800000.0,Sangat Kuat,Sangat Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 6% dengan cicilan selama 72 bulan"
Hamima Agustina,laki-laki,42,Belum menikah,0,SMA,4,6000000,2900000,230000000.0,0.2,16000000,64000000,11,48,1654113.45,53.36,136200000.0,Lemah,Tinggi,Beresiko,kredit kendaraan bermotor,950,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 11% dengan cicilan selama 48 bulan"
"H. Mulyanto Situmorang, S.Pt",laki-laki,30,Sudah menikah,3,S1,0,15000000,8500000,670000000.0,0.25,125000000,375000000,8,120,4549784.79,70.0,325000000.0,Kuat,Sangat Tinggi,Sangat Beresiko,kredit properti,1750,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 8% dengan cicilan selama 120 bulan"
"Drs. Ulya Utami, S.Pd",laki-laki,33,Belum menikah,0,S2,5,22500000,8400000,130000000.0,0.2,100000000,400000000,10,72,7410335.11,52.56,457200000.0,Sangat Kuat,Tinggi,Beresiko,kredit kendaraan bermotor,1250,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 10% dengan cicilan selama 72 bulan"
Ir. Rahayu Maryati,laki-laki,43,Cerai Hidup,3,S1,9,38500000,13500000,550000000.0,0.25,125000000,375000000,6,72,6214832.96,24.86,826000000.0,Sangat Kuat,Sangat Tinggi,Netral,kredit kendaraan bermotor,800,Netral,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 500000000 dengan bunga sebesar 6% dengan cicilan selama 72 bulan"
Tgk. Ulva Winarno,perempuan,42,Belum menikah,0,S2,5,21500000,11900000,760000000.0,0.3,240000000,560000000,6,120,6217148.11,64.76,454200000.0,Sangat Kuat,Sangat Tinggi,Sangat Beresiko,kredit properti,1500,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit properti, kami merekomendasikan jumlah maksimal pinjaman 800000000 dengan bunga sebesar 6% dengan cicilan selama 120 bulan"
"Keisha Yolanda, S.Pd",laki-laki,31,Sudah menikah,5,S1,3,18000000,5000000,450000000.0,0.2,600000,2400000,5,72,38651.84,0.3,420000000.0,Sangat Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 5% dengan cicilan selama 72 bulan"
Harsaya Gunawan,perempuan,51,Belum menikah,0,S1,8,24500000,8200000,470000000.0,0.2,600000,2400000,5,72,38651.84,0.24,544600000.0,Sangat Kuat,Tinggi,Sangat Baik,kredit usaha,0,Sangat Baik,"Berdasarkan analisis kami untuk tujuan peminjaman kredit usaha, kami merekomendasikan jumlah maksimal pinjaman 3000000 dengan bunga sebesar 5% dengan cicilan selama 72 bulan"
Drs. Rini Purnawati,perempuan,36,Belum menikah,0,SMA,5,7000000,3800000,170000000.0,0.2,16000000,64000000,7,48,1532559.66,47.89,144400000.0,Lemah,Sangat Rendah,Beresiko,kredit kendaraan bermotor,1600,Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 7% dengan cicilan selama 48 bulan"
"Ilyas Uyainah, S.E.",perempuan,16,Belum menikah,0,SD,0,4500000,2700000,220000000.0,0.25,20000000,60000000,4,48,1354743.28,75.26,97600000.0,Sangat Lemah,Sangat Rendah,Beresiko,kredit kendaraan bermotor,2250,Sangat Buruk,"Berdasarkan analisis kami untuk tujuan peminjaman kredit kendaraan bermotor, kami merekomendasikan jumlah maksimal pinjaman 80000000 dengan bunga sebesar 4% dengan cicilan selama 48 bulan"
